task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	5d/d17857	19124616	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-28 21:31:13.159	1m 9s	4.1s	40.8%	82.1 MB	408.2 MB	19.7 MB	768.4 KB
3	ca/6ee3fe	19124674	preprocessing (preprocessing)	COMPLETED	0	2026-07-28 21:32:23.783	3m 9s	2m 23s	43.3%	1.7 GB	1.9 GB	4.3 GB	1.8 MB
4	02/f89647	19124880	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-28 21:35:32.905	3m 40s	4s	86.7%	100.5 MB	1.3 GB	20.7 MB	243.4 KB
5	db/d9bae6	19125313	postprocessing (postprocessing)	COMPLETED	0	2026-07-28 21:39:12.606	1m 15s	3.9s	15.1%	102 MB	283.4 MB	18.6 MB	387.6 KB
2	7d/ce4ded	19124673	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-28 21:32:23.674	9m 4s	7m 38s	1423.1%	50.7 GB	88.6 GB	36.6 GB	271.7 MB
6	fa/d2672b	19125531	curation (curation)	COMPLETED	0	2026-07-28 21:40:27.665	1m 5s	2.9s	48.0%	152.2 MB	582.4 MB	29.6 MB	331 KB
7	bc/2b9294	19125617	visualization (visualization)	COMPLETED	0	2026-07-28 21:41:32.569	3m 5s	2m 5s	49.3%	2.4 GB	19.9 GB	3.9 GB	26.4 MB
8	e6/17a7b2	19125943	results_collector (result-collector)	COMPLETED	0	2026-07-28 21:44:37.564	34.9s	4.2s	39.4%	94.6 MB	428.1 MB	32.1 MB	7.1 MB
10	54/4eaad6	19126811	nwb_units (nwb-units)	COMPLETED	0	2026-07-28 21:45:12.623	1m 15s	6s	28.0%	175.1 MB	579.7 MB	94.8 MB	65 MB
9	1f/80cb76	19126812	quality_control (quality-control)	COMPLETED	0	2026-07-28 21:45:12.722	3m 5s	53.3s	52.3%	726 MB	3.1 GB	1.6 GB	6.8 MB
11	4a/eb627e	19127112	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-28 21:48:17.607	1m 10s	3.4s	23.3%	50.8 MB	371 MB	11.4 MB	3.5 MB
