task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	52/5f9f18	18495533	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-21 23:48:19.282	16m 34s	1.5s	94.3%	70.7 MB	401.7 MB	19.7 MB	768.4 KB
3	72/e4453c	18496478	preprocessing (preprocessing)	COMPLETED	0	2026-07-22 00:04:54.125	2h 6m 10s	4m 23s	886.6%	26.4 GB	64.5 GB	40.2 GB	16 GB
2	58/d4f1c8	18496477	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-22 00:04:53.996	2h 7m	5m 15s	1419.9%	50.5 GB	88.5 GB	39.6 GB	193.6 MB
4	16/18a01e	18501657	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-22 02:11:04.099	7m 5s	4m 17s	142.9%	14.1 GB	43.9 GB	78.2 MB	49.1 MB
5	86/bfdb2b	18501878	postprocessing (postprocessing)	COMPLETED	0	2026-07-22 02:18:09.067	7m 5s	1m 53s	463.3%	22.6 GB	64.3 GB	713.6 MB	879.8 MB
6	7c/561e2a	18502136	curation (curation)	COMPLETED	0	2026-07-22 02:25:14.051	1m 35s	17.5s	32.5%	1.1 GB	2.2 GB	291.8 MB	316.4 KB
7	1e/a8dfb6	18502181	visualization (visualization)	COMPLETED	0	2026-07-22 02:26:49.089	6m 45s	3m 43s	78.4%	3.9 GB	32.5 GB	6.4 GB	91.3 MB
8	81/0aeef9	18502383	results_collector (result-collector)	COMPLETED	0	2026-07-22 02:33:34.145	3m 5s	22.8s	17.8%	224.6 MB	878.8 MB	232.4 MB	186.2 MB
10	65/220c0e	18502533	nwb_units (nwb-units)	COMPLETED	0	2026-07-22 02:36:39.146	3m 35s	10.3s	58.3%	655.3 MB	1.3 GB	103.2 MB	150.9 MB
9	cc/3101cb	18502534	quality_control (quality-control)	COMPLETED	0	2026-07-22 02:36:39.269	8m 5s	1m 36s	73.8%	1.8 GB	4.1 GB	3.5 GB	7.9 MB
11	20/1c477d	18502776	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-22 02:44:44.200	1m 10s	798ms	98.8%	6.3 MB	12.8 MB	12.6 MB	4.7 MB
