task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	6b/c6c251	16355509	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-23 03:48:21.984	1m 34s	25.8s	36.9%	3 GB	3.3 GB	1.3 GB	872.4 KB
3	08/a52302	16355631	preprocessing (preprocessing)	COMPLETED	0	2026-06-23 03:49:56.596	1h 48m 50s	15m 16s	902.4%	18.8 GB	64.7 GB	80.2 GB	96 GB
4	37/adeea8	16355632	preprocessing (preprocessing)	COMPLETED	0	2026-06-23 03:49:56.741	2h 2m 5s	12m 19s	872.0%	18.8 GB	64 GB	81 GB	89.9 GB
2	07/035f2e	16355633	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-06-23 03:49:56.834	2h 19m 30s	18m 45s	1025.3%	19.4 GB	47.6 GB	531.3 GB	2.7 GB
5	b5/2592ff	16361497	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-23 05:38:46.638	4h 31m 20s	2h 4m 50s	89.3%	63.7 GB	119.3 GB	349.2 MB	2.2 GB
6	28/147ac3	16362157	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-23 05:52:01.671	7h 28m 5s	3h 6m 56s	51.3%	63.7 GB	113.2 GB	308.3 MB	1.9 GB
8	c2/938bab	16392737	postprocessing (postprocessing)	COMPLETED	0	2026-06-23 13:20:07.256	33m 35s	32m 42s	213.1%	76 GB	138.2 GB	4.5 GB	4.9 GB
7	ce/8c32fe	16392738	postprocessing (postprocessing)	COMPLETED	0	2026-06-23 13:20:07.356	34m 35s	33m 6s	172.9%	81.9 GB	138.5 GB	4.3 GB	4.6 GB
9	aa/94471c	16394473	curation (curation)	COMPLETED	0	2026-06-23 13:53:42.387	3m 35s	2m 32s	11.6%	4 GB	5.2 GB	1.4 GB	295.5 KB
10	0e/1ae886	16394495	curation (curation)	COMPLETED	0	2026-06-23 13:54:42.213	4m 5s	3m 9s	9.5%	4.2 GB	5.3 GB	1.5 GB	295.6 KB
12	ad/6c4320	16394729	visualization (visualization)	COMPLETED	0	2026-06-23 13:58:47.267	6m 5s	5m 25s	35.9%	10.6 GB	24.4 GB	5.5 GB	302.1 MB
11	bf/80a927	16394730	visualization (visualization)	COMPLETED	0	2026-06-23 13:58:47.350	6m 15s	5m 23s	35.7%	11 GB	28.6 GB	5.5 GB	319.2 MB
13	2f/11df9d	16395045	results_collector (result-collector)	COMPLETED	0	2026-06-23 14:05:02.295	4m	3m 19s	15.1%	1.9 GB	2.8 GB	3.5 GB	2.5 GB
14	d2/6c044a	16395307	quality_control (quality-control)	COMPLETED	0	2026-06-23 14:09:02.258	3m 10s	1m 37s	45.2%	1.8 GB	4.9 GB	2.5 GB	8 MB
16	69/b985c3	16395309	quality_control (quality-control)	COMPLETED	0	2026-06-23 14:09:02.554	3m 15s	1m 13s	58.2%	1.6 GB	4.3 GB	2.5 GB	8.6 MB
17	c6/a28819	16395499	quality_control_collector (qc-collector)	COMPLETED	0	2026-06-23 14:12:17.214	1m 35s	11s	10.8%	50.9 MB	370.9 MB	18.2 MB	10.2 MB
15	f3/00ee5e	16395308	nwb_units (nwb-units)	FAILED	1	2026-06-23 14:09:02.428	5m 5s	3m 25s	-	-	-	-	-
