task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	aa/1301a9	22343006	job_dispatch (job-dispatch)	COMPLETED	0	2026-09-08 23:27:28.880	6m 34s	11.7s	50.0%	1.2 GB	1.5 GB	764.8 MB	810.6 KB
3	ff/cde08f	22343435	preprocessing (preprocessing)	COMPLETED	0	2026-09-08 23:34:03.698	10m 20s	47.9s	50.1%	1.6 GB	1.7 GB	1.5 GB	1.4 MB
4	05/836697	22344621	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-09-08 23:44:24.166	1m 9s	5.7s	61.3%	130.3 MB	1.3 GB	20.7 MB	243.4 KB
5	c6/724204	22344803	postprocessing (postprocessing)	COMPLETED	0	2026-09-08 23:45:33.507	1m 35s	6.5s	9.0%	112.6 MB	293.7 MB	18.6 MB	392.3 KB
6	68/3592e9	22345045	curation (curation)	COMPLETED	0	2026-09-08 23:47:08.422	1m 35s	5.7s	22.3%	176.5 MB	602.6 MB	29.6 MB	331 KB
7	35/2416f7	22345151	visualization (visualization)	COMPLETED	0	2026-09-08 23:48:43.788	2m 5s	1m 2s	57.8%	4.9 GB	21.8 GB	2.8 GB	25.9 MB
2	f9/8f6dab	22343434	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-09-08 23:34:03.568	17m 15s	9m 4s	1230.8%	21.6 GB	47.6 GB	323.6 GB	1.6 GB
8	9b/b12db3	22345295	results_collector (result-collector)	COMPLETED	0	2026-09-08 23:50:48.491	34.8s	2.3s	62.5%	139.2 MB	475 MB	29.2 MB	4.3 MB
9	5d/1010f4	22345350	nwb_units (nwb-units)	COMPLETED	0	2026-09-08 23:51:23.627	34.7s	5.5s	38.1%	181.1 MB	586.4 MB	450.9 MB	421.1 MB
10	54/3d1e4e	22345349	quality_control (quality-control)	COMPLETED	0	2026-09-08 23:51:23.520	1m 5s	22.8s	95.6%	1.6 GB	4 GB	1.3 GB	6.7 MB
11	7b/5d11e9	22345397	quality_control_collector (qc-collector)	COMPLETED	0	2026-09-08 23:52:28.416	34.9s	2.9s	25.4%	48.1 MB	368.2 MB	11.4 MB	3.5 MB
