task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	20/650b45	18956814	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-26 22:20:21.139	8m 4s	4m 41s	1.9%	699.9 MB	1 GB	598.3 MB	917.5 KB
3	3f/b6469d	18957339	preprocessing (preprocessing)	COMPLETED	0	2026-07-26 22:28:29.166	1h 6m 56s	1h 5m 57s	116.6%	14.8 GB	64.9 GB	52.6 GB	57.3 GB
2	f0/e9d7b0	18957338	preprocessing (preprocessing)	COMPLETED	0	2026-07-26 22:28:28.901	1h 9m 58s	1h 8m 21s	106.0%	14.6 GB	64.6 GB	49.5 GB	56.8 GB
4	5a/7ca3d5	18957337	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-26 22:28:28.768	1h 33m 17s	1h 31m 48s	118.9%	12.6 GB	47.3 GB	330.5 GB	1.7 GB
6	1d/642fe8	18962038	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-26 23:38:27.206	3h 56m 59s	3h 52m 40s	42.3%	63.7 GB	83.8 GB	354.4 MB	2.3 GB
5	60/cdb557	18961857	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-26 23:35:26.277	4h 7m 35s	4h 3m 32s	76.9%	63.7 GB	87.5 GB	585.3 MB	4.3 GB
7	d6/d8415f	18973847	postprocessing (postprocessing)	COMPLETED	0	2026-07-27 03:43:01.119	1h 25m 15s	1h 23m 54s	144.2%	167.7 GB	261.4 GB	9.5 GB	11.5 GB
9	76/e7e7ed	18977192	curation (curation)	COMPLETED	0	2026-07-27 05:08:18.578	29m 47s	28m 32s	1.8%	7.9 GB	9.1 GB	1.8 GB	338.7 KB
8	0e/882f7b	18973848	postprocessing (postprocessing)	COMPLETED	0	2026-07-27 03:43:01.231	2h 34m 55s	2h 33m 43s	209.8%	467.5 GB	663.1 GB	29.1 GB	34.3 GB
10	c8/314820	18979402	curation (curation)	COMPLETED	0	2026-07-27 06:17:56.279	29m 15s	28m 18s	4.1%	18.3 GB	19.6 GB	3.8 GB	358.8 KB
12	08/2c8018	18980870	visualization (visualization)	COMPLETED	0	2026-07-27 06:47:11.597	38m 55s	37m 17s	6.5%	12.9 GB	22.1 GB	4.2 GB	463 MB
11	45/113e05	18980871	visualization (visualization)	COMPLETED	0	2026-07-27 06:47:11.704	1h 15s	58m 45s	8.7%	23.9 GB	37 GB	7.4 GB	1 GB
13	cf/74c3eb	18981912	results_collector (result-collector)	COMPLETED	0	2026-07-27 07:47:27.201	1h 14s	59m 32s	2.2%	2.5 GB	3.4 GB	6.8 GB	6.7 GB
16	a2/93e245	18983549	quality_control (quality-control)	COMPLETED	0	2026-07-27 08:47:41.666	13m 50s	12m 25s	9.2%	5.4 GB	8.1 GB	2.3 GB	12.9 MB
14	44/c8e764	18983550	quality_control (quality-control)	COMPLETED	0	2026-07-27 08:47:41.764	14m	12m 30s	6.3%	2.4 GB	5 GB	1.8 GB	10.5 MB
15	dc/15a856	18983548	nwb_units (nwb-units)	COMPLETED	0	2026-07-27 08:47:41.528	16m 10s	14m 59s	21.8%	8.5 GB	9.4 GB	2.2 GB	2.5 GB
17	be/a65cac	18984163	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-27 09:01:41.450	3m 5s	1m 55s	0.7%	50.3 MB	370.9 MB	24.8 MB	16.8 MB
