task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f3/bf16c6	15945309	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-13 00:33:27.756	3m 10s	5.7s	45.6%	5.1 GB	5.4 GB	19.7 MB	763.1 KB
2	8d/f37141	15945421	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-06-13 00:36:37.670	37m 25s	27m 56s	1401.3%	12.2 GB	50.9 GB	545.2 GB	2.3 GB
3	6a/0e9d91	15945423	preprocessing (preprocessing)	COMPLETED	0	2026-06-13 00:36:37.773	44m 55s	35m 34s	1232.9%	26 GB	65.3 GB	273.7 GB	165.1 GB
4	47/f19bb5	15947009	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-13 01:21:32.583	2h 2m 25s	2h 43s	335.8%	63.7 GB	201.5 GB	692.7 MB	5.1 GB
5	c5/b317fc	15950298	postprocessing (postprocessing)	COMPLETED	0	2026-06-13 03:23:57.757	37m 15s	36m 23s	656.4%	287.9 GB	387.4 GB	15.3 GB	18.3 GB
6	b4/c83a40	15951795	curation (curation)	COMPLETED	0	2026-06-13 04:01:12.735	2m 5s	1m 23s	58.3%	11.4 GB	12.8 GB	2.1 GB	309.7 KB
7	57/4b77f5	15951898	visualization (visualization)	COMPLETED	0	2026-06-13 04:03:17.732	6m 5s	5m 58s	80.3%	24.8 GB	37.9 GB	7.1 GB	791.3 MB
8	c0/920ad5	15952101	results_collector (result-collector)	COMPLETED	0	2026-06-13 04:09:22.762	3m 5s	1m 11s	63.5%	2.8 GB	3.7 GB	3.2 GB	3.5 GB
9	ab/cff502	15952211	quality_control (quality-control)	COMPLETED	0	2026-06-13 04:12:27.793	3m 5s	1m 26s	87.3%	2.9 GB	5.6 GB	2.6 GB	10.7 MB
10	83/1eb184	15952212	nwb_units (nwb-units)	COMPLETED	0	2026-06-13 04:12:27.915	3m 5s	1m 31s	91.1%	5.5 GB	6.3 GB	660.2 MB	1.4 GB
11	c5/cb484b	15952356	quality_control_collector (qc-collector)	COMPLETED	0	2026-06-13 04:15:32.772	1m 25s	1.6s	37.8%	50.8 MB	370.9 MB	15.6 MB	7.6 MB
