task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	65/e60459	22347717	job_dispatch (job-dispatch)	COMPLETED	0	2026-09-09 00:16:16.230	1m 34s	30s	83.9%	4.8 GB	5.5 GB	19.5 MB	694.2 KB
3	ad/9cc2c4	22347871	preprocessing (preprocessing)	COMPLETED	0	2026-09-09 00:17:51.050	1h 30m 55s	13.8s	28.1%	288.9 MB	486.6 MB	253 MB	847.7 KB
4	b9/32f7e6	22355387	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-09-09 01:48:45.986	1m 10s	5.4s	64.8%	147.9 MB	1.3 GB	20.8 MB	243.4 KB
2	94/6da824	22347872	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-09-09 00:17:51.141	1h 33m 50s	3m 16s	1275.4%	5.9 GB	43.9 GB	142 GB	924.5 MB
5	55/e5c80b	22355568	postprocessing (postprocessing)	COMPLETED	0	2026-09-09 01:49:56.040	1h 18m 40s	4.5s	12.3%	135.4 MB	313.4 MB	18.5 MB	392.2 KB
6	eb/21f049	22359821	curation (curation)	COMPLETED	0	2026-09-09 03:08:36.099	34.9s	2.6s	39.5%	165.7 MB	593 MB	29.6 MB	331 KB
7	cf/4b36b4	22359841	visualization (visualization)	COMPLETED	0	2026-09-09 03:09:18.597	1m 7s	31.3s	46.0%	6.1 GB	22.5 GB	381.1 MB	3.2 MB
8	9f/8bffc7	22359916	results_collector (result-collector)	COMPLETED	0	2026-09-09 03:10:26.195	34.8s	7.6s	19.7%	88 MB	420 MB	26.4 MB	1.5 MB
10	28/b13914	22359928	nwb_units (nwb-units)	COMPLETED	0	2026-09-09 03:11:01.239	24.8s	6.6s	32.9%	180.4 MB	586.4 MB	401.8 MB	372.1 MB
9	8c/79ec2b	22359927	quality_control (quality-control)	COMPLETED	0	2026-09-09 03:11:01.150	10m 40s	12.8s	68.2%	2 GB	4.4 GB	353.6 MB	4.5 MB
11	b9/455f28	22360694	quality_control_collector (qc-collector)	COMPLETED	0	2026-09-09 03:21:41.124	34.9s	1.3s	59.5%	50.5 MB	370.9 MB	9.2 MB	1.3 MB
