task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	40/b36d03	22360254	job_dispatch (job-dispatch)	COMPLETED	0	2026-09-09 03:16:04.818	34.3s	1.6s	98.3%	63 MB	380.9 MB	19.8 MB	1007.2 KB
2	4e/3b2a89	22360276	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-09-09 03:16:39.332	7m 5s	1m 38s	909.2%	14.8 GB	53 GB	32.6 GB	232.2 MB
3	0b/8ac72f	22360277	preprocessing (preprocessing)	COMPLETED	0	2026-09-09 03:16:39.421	8m 15s	59.6s	92.6%	2.4 GB	2.6 GB	4.5 GB	3.3 MB
4	71/129714	22360800	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-09-09 03:24:54.292	34.8s	4.1s	84.5%	98.6 MB	1.3 GB	20.7 MB	243.4 KB
5	ad/4f6cb2	22360829	postprocessing (postprocessing)	COMPLETED	0	2026-09-09 03:25:29.288	15m 35s	2.6s	21.0%	105.2 MB	285.9 MB	18.8 MB	392.2 KB
6	f8/193b22	22362106	curation (curation)	COMPLETED	0	2026-09-09 03:41:14.577	1m 25s	2.5s	53.2%	154.8 MB	582.8 MB	29.6 MB	331 KB
7	1f/695b59	22362184	visualization (visualization)	COMPLETED	0	2026-09-09 03:42:39.317	2m 35s	1m 10s	60.4%	2.1 GB	32 GB	2.5 GB	22.4 MB
8	d2/153a9d	22362313	results_collector (result-collector)	COMPLETED	0	2026-09-09 03:45:14.340	1m 30s	4.8s	29.4%	127.8 MB	461 MB	27 MB	1.9 MB
10	98/193212	22362624	nwb_units (nwb-units)	COMPLETED	0	2026-09-09 03:46:45.520	58.7s	6.2s	25.4%	174.7 MB	578.7 MB	80.3 MB	50.3 MB
9	13/774624	22362623	quality_control (quality-control)	COMPLETED	0	2026-09-09 03:46:44.467	11m 5s	51.2s	65.9%	678.8 MB	3 GB	1.7 GB	5.6 MB
11	a1/6062de	22363279	quality_control_collector (qc-collector)	COMPLETED	0	2026-09-09 03:57:49.322	34.9s	3.1s	25.6%	47.7 MB	368.2 MB	10.4 MB	2.5 MB
