task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	da/4f5fd0	16451304	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-24 08:47:44.026	1m 4s	2s	61.8%	51.5 MB	369 MB	19.8 MB	971.9 KB
2	36/7d84ea	16451321	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-06-24 08:48:48.084	3m 5s	2m 32s	875.6%	15.9 GB	54.1 GB	33.5 GB	261.7 MB
3	78/2280b7	16451322	preprocessing (preprocessing)	COMPLETED	0	2026-06-24 08:48:48.246	6m 15s	5m 28s	319.4%	70.6 GB	120.9 GB	74.1 GB	61.9 GB
4	40/fa8d9b	16451555	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-24 08:55:02.934	3h 42m 11s	16m 24s	114.2%	13.7 GB	66.9 GB	101.3 MB	156.9 MB
5	62/370b6e	16465390	postprocessing (postprocessing)	COMPLETED	0	2026-06-24 12:37:13.746	9m 5s	4m 43s	546.9%	91.6 GB	136.6 GB	1.5 GB	2 GB
6	bf/aafef3	16466628	curation (curation)	COMPLETED	0	2026-06-24 12:46:18.412	3m 5s	1m 29s	8.8%	2.5 GB	3.7 GB	349.8 MB	293.7 KB
7	f7/2c981d	16467202	visualization (visualization)	COMPLETED	0	2026-06-24 12:49:23.455	6m 5s	4m 22s	53.4%	5.6 GB	42.6 GB	6 GB	197.5 MB
8	54/e8e361	16467960	results_collector (result-collector)	COMPLETED	0	2026-06-24 12:55:28.522	4m 5s	3m 8s	3.4%	263.7 MB	916.3 MB	257.2 MB	201.4 MB
10	ce/5a01a4	16468241	nwb_units (nwb-units)	COMPLETED	0	2026-06-24 12:59:33.628	2m 5s	56.7s	42.4%	1.9 GB	2.8 GB	149.6 MB	469.3 MB
9	21/d7ae6e	16468240	quality_control (quality-control)	COMPLETED	0	2026-06-24 12:59:33.477	4m 5s	2m 28s	47.2%	2 GB	4.8 GB	3.3 GB	6.8 MB
11	1a/850947	16468566	quality_control_collector (qc-collector)	COMPLETED	0	2026-06-24 13:03:38.473	1m 10s	1.6s	34.0%	50.4 MB	370.9 MB	11.6 MB	3.6 MB
