task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	d6/725879	17648273	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-10 23:02:56.628	1m 19s	21.6s	5.4%	150.3 MB	503.2 MB	19.8 MB	988.9 KB
3	df/97dac6	17648350	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-10 23:04:15.805	3m	2m 22s	466.8%	15 GB	53.2 GB	21 GB	160.1 MB
2	f9/e3240e	17648351	preprocessing (preprocessing)	COMPLETED	0	2026-07-10 23:04:15.891	7m 20s	6m 34s	152.7%	44.1 GB	94.8 GB	44.3 GB	33.6 GB
4	83/c622d6	17648783	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-10 23:11:36.742	10m 9s	8m 59s	511.3%	8 GB	45.1 GB	93 MB	126.3 MB
5	62/74e557	17649551	postprocessing (postprocessing)	COMPLETED	0	2026-07-10 23:21:45.854	8m 15s	6m 47s	955.1%	76.4 GB	147.2 GB	2.9 GB	3.5 GB
6	51/659384	17650093	curation (curation)	COMPLETED	0	2026-07-10 23:30:01.072	2m 5s	56s	20.8%	3.1 GB	4.5 GB	480 MB	319.4 KB
7	f9/f8e366	17650277	visualization (visualization)	COMPLETED	0	2026-07-10 23:32:06.538	7m 34s	6m 2s	41.2%	7.5 GB	44.7 GB	5.7 GB	217.4 MB
8	60/1a4947	17650726	results_collector (result-collector)	COMPLETED	0	2026-07-10 23:39:40.854	1m 5s	41s	13.1%	264.1 MB	915.4 MB	392 MB	339.7 MB
10	17/e73b3d	17650779	nwb_units (nwb-units)	COMPLETED	0	2026-07-10 23:40:45.949	3m 5s	1m 8s	26.0%	1.6 GB	2.3 GB	123.8 MB	353.3 MB
9	95/a79b65	17650778	quality_control (quality-control)	COMPLETED	0	2026-07-10 23:40:45.868	5m 5s	3m 8s	32.9%	1.4 GB	4.1 GB	3.3 GB	6.6 MB
11	88/a34f8d	17651073	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-10 23:45:50.845	34.9s	3s	26.8%	43.2 MB	362.9 MB	11.4 MB	3.4 MB
