task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	6c/dd8aef	19129542	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-28 22:16:15.957	3m 34s	20.9s	80.9%	15.3 GB	15.6 GB	19.5 MB	645.4 KB
3	bf/a61feb	19129767	preprocessing (preprocessing)	COMPLETED	0	2026-07-28 22:19:50.826	3m 9s	30.4s	22.8%	260.3 MB	462 MB	842.6 MB	749.8 KB
4	b9/66ae6f	19130036	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-28 22:23:00.451	2m 30s	4.2s	82.5%	92.7 MB	1.3 GB	20.7 MB	243.4 KB
5	05/63d400	19130212	postprocessing (postprocessing)	COMPLETED	0	2026-07-28 22:25:30.558	1m 5s	4.3s	13.4%	78.2 MB	283.4 MB	18.5 MB	387.6 KB
6	4f/661579	19130262	curation (curation)	COMPLETED	0	2026-07-28 22:26:35.462	1m 35s	2.3s	57.5%	177.3 MB	605.1 MB	29.6 MB	331 KB
2	4b/35a30f	19129766	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-28 22:19:50.658	9m 50s	6m 43s	1087.4%	9.7 GB	47.9 GB	337.3 GB	1 GB
7	da/625531	19130385	visualization (visualization)	COMPLETED	0	2026-07-28 22:28:10.483	3m 5s	2m 27s	61.9%	16 GB	39.6 GB	624.8 MB	3.5 MB
8	a3/926e2b	19130740	results_collector (result-collector)	COMPLETED	0	2026-07-28 22:31:15.499	34.8s	4.1s	34.9%	96.4 MB	430.8 MB	26.2 MB	1.3 MB
9	ca/61a094	19130798	nwb_units (nwb-units)	COMPLETED	0	2026-07-28 22:31:50.623	34.7s	4.9s	42.9%	180.3 MB	586.4 MB	430.4 MB	400.7 MB
10	df/fcdf49	19130797	quality_control (quality-control)	COMPLETED	0	2026-07-28 22:31:50.530	34.8s	17.2s	62.8%	5.4 GB	7.7 GB	533.3 MB	4.1 MB
11	02/4bd438	19130828	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-28 22:32:25.510	1m 5s	1.2s	64.6%	50.2 MB	370.9 MB	8.8 MB	875.3 KB
