task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	e4/e86433	15840769	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-11 02:03:48.346	3m 14s	9.3s	16.9%	62.1 MB	382.3 MB	19.6 MB	715.6 KB
2	02/d3effa	15840846	preprocessing (preprocessing)	COMPLETED	0	2026-06-11 02:07:02.321	8m 5s	4m 40s	403.4%	13.3 GB	62.7 GB	26.3 GB	23.5 GB
4	fd/b622f1	15841068	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-11 02:15:07.137	35m 35s	33m 35s	430.0%	27.1 GB	46.5 GB	222.4 MB	1.3 GB
3	91/0fb757	15840847	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-06-11 02:07:02.459	1h 19m 45s	1h 16m 14s	1551.1%	12.2 GB	50.2 GB	36.4 GB	234.5 MB
5	c1/3719a9	15842803	postprocessing (postprocessing)	COMPLETED	0	2026-06-11 02:50:42.192	1h 41m 35s	1h 40m 51s	442.7%	558.3 GB	708 GB	33.8 GB	41.7 GB
6	30/a559b0	15846997	curation (curation)	COMPLETED	0	2026-06-11 04:32:17.285	5m 35s	3m 6s	50.8%	15.9 GB	17.2 GB	6.5 GB	319.7 KB
7	8e/28c6fd	15847222	visualization (visualization)	COMPLETED	0	2026-06-11 04:37:52.289	9m 5s	6m 5s	90.6%	18.5 GB	31.6 GB	9.3 GB	1 GB
8	14/a56ee8	15847600	results_collector (result-collector)	COMPLETED	0	2026-06-11 04:46:58.266	6m 9s	2m 42s	20.8%	851.7 MB	1.8 GB	6.8 GB	6.8 GB
9	37/b6f2c5	15848063	quality_control (quality-control)	COMPLETED	0	2026-06-11 04:53:07.378	2m 5s	1m 36s	56.8%	3.5 GB	6.4 GB	2 GB	12.7 MB
10	9f/48b41b	15848064	nwb_units (nwb-units)	COMPLETED	0	2026-06-11 04:53:07.481	3m 10s	2m 25s	81.3%	5.5 GB	6.4 GB	291.4 MB	1.3 GB
11	5e/4a0eab	15848321	quality_control_collector (qc-collector)	COMPLETED	0	2026-06-11 04:55:12.431	1m 35s	2.8s	27.9%	48 MB	368.2 MB	17.5 MB	9.6 MB
