task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	03/16b512	18976922	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-27 05:01:50.749	6m 4s	3m 52s	0.6%	269.2 MB	596.1 MB	19.7 MB	818.3 KB
3	48/0e1782	18977178	preprocessing (preprocessing)	COMPLETED	0	2026-07-27 05:07:55.796	15m 30s	14m 4s	6.3%	2 GB	2.2 GB	6.5 GB	1.6 MB
2	42/6c151d	18977177	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-27 05:07:55.702	19m 29s	17m 46s	208.4%	14.7 GB	52.8 GB	187.3 GB	189.2 MB
4	c8/87f0e9	18977609	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-27 05:23:25.671	8m 14s	5m 44s	1.1%	92.8 MB	1.3 GB	20.7 MB	243.4 KB
5	0f/4a04b3	18978036	postprocessing (postprocessing)	COMPLETED	0	2026-07-27 05:31:40.994	6m 34s	4m 56s	0.2%	74.8 MB	283.4 MB	18.7 MB	383.5 KB
6	bd/71964e	18978145	curation (curation)	COMPLETED	0	2026-07-27 05:38:16.346	6m 44s	5m 8s	0.5%	176.3 MB	605 MB	29.6 MB	313.7 KB
7	70/ea22db	18978374	visualization (visualization)	COMPLETED	0	2026-07-27 05:45:00.306	8m 5s	7m 9s	10.7%	2.8 GB	16.5 GB	4 GB	21.4 MB
8	cf/99f142	18978585	results_collector (result-collector)	COMPLETED	0	2026-07-27 05:53:05.770	3m 44s	3m 3s	0.8%	139.5 MB	475.7 MB	27.8 MB	2.8 MB
10	be/a8126a	18978787	nwb_units (nwb-units)	COMPLETED	0	2026-07-27 05:56:50.847	3m 14s	2m 15s	1.2%	150.9 MB	546.7 MB	66.3 MB	36.4 MB
9	35/c94d69	18978786	quality_control (quality-control)	COMPLETED	0	2026-07-27 05:56:50.366	7m 10s	5m 14s	9.5%	1.6 GB	3.9 GB	2.3 GB	4.9 MB
11	d3/cb882d	18978989	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-27 06:04:00.334	2m 35s	1m 23s	1.0%	48 MB	368.2 MB	9.6 MB	1.6 MB
