task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	39/6be2d8	16702169	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-27 18:38:41.157	6m 24s	4m 21s	0.8%	81.9 MB	408.2 MB	19.5 MB	635.6 KB
2	62/bdfc3b	16702377	preprocessing (preprocessing)	COMPLETED	0	2026-06-27 18:45:05.979	25m 5s	23m 49s	1.1%	443.2 MB	647.7 MB	1.6 GB	902.6 KB
4	97/df0fb2	16703143	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-27 19:10:11.868	2m 34s	1m 27s	4.1%	144.1 MB	1.3 GB	20.7 MB	240.3 KB
5	29/599d87	16703225	postprocessing (postprocessing)	COMPLETED	0	2026-06-27 19:12:45.677	3m 5s	1m 7s	1.0%	135 MB	313.4 MB	18.5 MB	341.5 KB
6	17/c09858	16703282	curation (curation)	COMPLETED	0	2026-06-27 19:15:51.229	5m 34s	3m 57s	0.5%	177.9 MB	606.3 MB	29.6 MB	283.4 KB
7	32/b6dc62	16703435	visualization (visualization)	COMPLETED	0	2026-06-27 19:21:26.201	20m 4s	18m 51s	1.7%	2.5 GB	19 GB	1 GB	5 MB
8	62/add159	16703917	results_collector (result-collector)	COMPLETED	0	2026-06-27 19:41:30.762	1m 35s	19.6s	7.5%	136.8 MB	470.9 MB	26.4 MB	1.5 MB
3	56/ff008c	16702376	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-06-27 18:45:05.815	1h 1m 5s	59m 55s	45.9%	5.4 GB	43.4 GB	116.8 GB	549.6 MB
10	8b/8a0c28	16704018	nwb_units (nwb-units)	COMPLETED	0	2026-06-27 19:46:11.089	9m 15s	6m 1s	0.5%	180.8 MB	586.4 MB	263 MB	233.3 MB
9	29/54c302	16703964	quality_control (quality-control)	COMPLETED	0	2026-06-27 19:43:05.750	13m 30s	10m 29s	2.0%	902.3 MB	3.2 GB	732.4 MB	3.9 MB
11	3d/0f2f6a	16704290	quality_control_collector (qc-collector)	COMPLETED	0	2026-06-27 19:56:35.756	1m 35s	3.4s	22.7%	50.7 MB	370.9 MB	8.7 MB	785.6 KB
