task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a3/f4cf05	22361191	job_dispatch (job-dispatch)	COMPLETED	0	2026-09-09 03:31:24.643	6m 34s	5.6s	98.9%	16.3 GB	16.6 GB	19.7 MB	807.4 KB
3	c0/87a8aa	22361786	preprocessing (preprocessing)	COMPLETED	0	2026-09-09 03:37:59.490	6m 5s	1m 15s	64.5%	1.6 GB	1.8 GB	3 GB	1.9 MB
4	d5/9aa26b	22362254	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-09-09 03:44:04.297	1m 10s	4.9s	71.2%	119.7 MB	1.3 GB	20.8 MB	243.4 KB
5	bf/4f5cb5	22362314	postprocessing (postprocessing)	COMPLETED	0	2026-09-09 03:45:14.355	11m 45s	4.3s	12.9%	135.7 MB	313.7 MB	18.6 MB	392.3 KB
6	17/82aea3	22363253	curation (curation)	COMPLETED	0	2026-09-09 03:56:59.278	34.9s	6s	20.8%	159.3 MB	589.4 MB	29.6 MB	331 KB
7	5b/bfa88f	22363274	visualization (visualization)	COMPLETED	0	2026-09-09 03:57:34.268	4m 5s	3m 1s	82.1%	23.3 GB	40.2 GB	2.7 GB	39 MB
8	0e/77b5fe	22363517	results_collector (result-collector)	COMPLETED	0	2026-09-09 04:01:39.307	34.9s	2.4s	51.3%	139 MB	475.1 MB	32.7 MB	7.7 MB
9	ec/a7a2e9	22363542	quality_control (quality-control)	COMPLETED	0	2026-09-09 04:02:14.380	2m 35s	29.1s	86.5%	5.9 GB	8.3 GB	1.1 GB	6.3 MB
10	31/4b97f2	22363631	quality_control_collector (qc-collector)	COMPLETED	0	2026-09-09 04:04:49.358	34.8s	1.5s	58.4%	50.5 MB	369.9 MB	11.1 MB	3.1 MB
2	31/78c118	22361787	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-09-09 03:37:59.627	53m 25s	49m 32s	1436.7%	16.6 GB	54.8 GB	1.8 TB	7.3 GB
11	a9/20ece3	22365393	nwb_units (nwb-units)	COMPLETED	0	2026-09-09 04:31:24.342	34.9s	9.1s	37.0%	180.5 MB	586.4 MB	1.7 GB	1.6 GB
