task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	86/374a51	15861317	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-11 09:16:04.570	1m 9s	9.3s	66.1%	1.7 GB	1.9 GB	19.7 MB	721.4 KB
3	76/472ada	15861346	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-06-11 09:17:14.348	7m 10s	6m 10s	1233.1%	11.1 GB	49.3 GB	197.2 GB	774.8 MB
2	6b/8a472f	15861347	preprocessing (preprocessing)	COMPLETED	0	2026-06-11 09:17:14.475	10m 14s	9m 27s	1113.3%	15.3 GB	65.4 GB	104.9 GB	57 GB
4	f7/26f586	15861757	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-11 09:27:29.092	57m 50s	44m 42s	282.3%	63.7 GB	85.6 GB	450 MB	3.1 GB
5	28/8dd661	15865605	postprocessing (postprocessing)	COMPLETED	0	2026-06-11 10:25:19.188	24m 55s	23m 55s	841.5%	203.8 GB	291.3 GB	10.5 GB	13.2 GB
6	f9/4812a5	15866695	curation (curation)	COMPLETED	0	2026-06-11 10:50:14.253	2m 5s	1m 23s	30.9%	9.5 GB	10.8 GB	1.9 GB	306.7 KB
7	1b/5a23fb	15866760	visualization (visualization)	COMPLETED	0	2026-06-11 10:52:19.202	5m 5s	4m 12s	86.4%	15.4 GB	41.2 GB	6.8 GB	592.9 MB
8	e3/e98d85	15866929	results_collector (result-collector)	COMPLETED	0	2026-06-11 10:57:24.169	1m 5s	35.3s	69.7%	1.5 GB	2.2 GB	2.4 GB	2.6 GB
10	f9/ffc33f	15866944	quality_control (quality-control)	COMPLETED	0	2026-06-11 10:58:29.233	1m 50s	1m 21s	79.6%	2.4 GB	5.2 GB	2.5 GB	11.8 MB
9	c7/e4a061	15866945	nwb_units (nwb-units)	COMPLETED	0	2026-06-11 10:58:29.350	2m 5s	1m 11s	92.8%	4.3 GB	5.1 GB	279.5 MB	953.4 MB
11	44/6b28e0	15866986	quality_control_collector (qc-collector)	COMPLETED	0	2026-06-11 11:00:19.180	1m 5s	2.1s	43.4%	32.8 MB	347.1 MB	16.6 MB	8.6 MB
