task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f6/73c04f	17184223	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-05 00:31:29.185	34.5s	17.7s	60.4%	1.6 GB	2.1 GB	19.7 MB	734 KB
3	9c/19f8be	17184251	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-05 00:32:04.063	8m 45s	7m 38s	911.7%	11.2 GB	49.3 GB	201.6 GB	790.6 MB
2	97/6f8fd9	17184249	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 00:32:03.937	13m 40s	12m 23s	821.0%	15.5 GB	65.4 GB	107.1 GB	58.8 GB
4	88/bfeb28	17184595	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 00:45:43.807	42m 5s	40m 58s	298.6%	63.7 GB	90 GB	434.6 MB	3 GB
5	f4/f759d6	17185988	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 01:27:48.914	21m 5s	19m 31s	859.3%	207.7 GB	294.7 GB	10.6 GB	13.3 GB
6	0d/11e461	17186834	curation (curation)	COMPLETED	0	2026-07-05 01:48:53.937	3m 5s	1m 55s	34.0%	9.6 GB	10.8 GB	1.8 GB	334.5 KB
7	2b/124ca2	17186948	visualization (visualization)	COMPLETED	0	2026-07-05 01:51:58.894	6m 40s	5m 56s	66.4%	15.5 GB	34.5 GB	6.7 GB	573.4 MB
8	25/c7ffb7	17187092	results_collector (result-collector)	COMPLETED	0	2026-07-05 01:58:38.892	5m	3m 9s	18.0%	1.7 GB	2.7 GB	2.4 GB	2.5 GB
9	e1/d67384	17187215	quality_control (quality-control)	COMPLETED	0	2026-07-05 02:03:39.368	3m 4s	1m 59s	51.3%	3.4 GB	6.1 GB	2.6 GB	11 MB
10	31/d2f9fa	17187216	nwb_units (nwb-units)	COMPLETED	0	2026-07-05 02:03:39.464	3m 4s	1m 8s	87.9%	4.4 GB	5.3 GB	277.6 MB	958 MB
11	1a/3e9ee9	17187337	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-05 02:06:43.912	1m 35s	1.8s	38.7%	50.6 MB	370.9 MB	15.7 MB	7.8 MB
