task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	34/5d82fe	19132617	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-28 22:47:11.436	34.4s	3.2s	47.9%	52.2 MB	371.2 MB	19.5 MB	767 KB
3	6c/8709f7	19132728	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-28 22:47:46.282	1m 9s	49.3s	991.0%	6.7 GB	44.8 GB	18 GB	133.1 MB
2	36/e2952b	19132727	preprocessing (preprocessing)	COMPLETED	0	2026-07-28 22:47:46.145	2m 5s	1m 29s	355.6%	20.7 GB	71.1 GB	19.8 GB	13.5 GB
4	d4/fdc416	19132877	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-28 22:49:50.934	3m 5s	2m 18s	279.9%	7.8 GB	36 GB	81 MB	72.3 MB
5	f1/48afdd	19133137	postprocessing (postprocessing)	COMPLETED	0	2026-07-28 22:52:55.928	4m 5s	2m 53s	768.7%	21.9 GB	78.6 GB	1.1 GB	1.2 GB
6	24/b99bf7	19133567	curation (curation)	COMPLETED	0	2026-07-28 22:57:02.028	1m 34s	15.9s	41.9%	2.5 GB	3.5 GB	246.4 MB	341.3 KB
7	9e/40638b	19133688	visualization (visualization)	COMPLETED	0	2026-07-28 22:58:35.939	3m 5s	1m 25s	74.8%	3.6 GB	22.6 GB	2.1 GB	58.1 MB
8	75/dc7dcd	19133959	results_collector (result-collector)	COMPLETED	0	2026-07-28 23:01:40.980	1m 35s	15.6s	23.2%	227.8 MB	881.5 MB	184.3 MB	142.6 MB
9	1f/c7b3e0	19134094	quality_control (quality-control)	COMPLETED	0	2026-07-28 23:03:16.150	3m 35s	25.7s	83.5%	497.1 MB	2.8 GB	1.5 GB	5.9 MB
10	9f/35e366	19134093	nwb_units (nwb-units)	COMPLETED	0	2026-07-28 23:03:16.019	3m 35s	10.9s	40.9%	345.4 MB	1.3 GB	81.1 MB	54.5 MB
11	12/e8f657	19134375	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-28 23:06:50.944	2m 35s	1.2s	92.1%	50.6 MB	370.9 MB	10.6 MB	2.7 MB
