task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	e4/1480f1	17655197	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-11 00:46:28.348	1m 4s	29.7s	6.5%	71.5 MB	401.8 MB	20.1 MB	1.2 MB
2	a4/20051c	17655317	preprocessing (preprocessing)	COMPLETED	0	2026-07-11 00:47:33.487	2m 4s	1m 45s	60.0%	2.7 GB	2.9 GB	5.1 GB	5 MB
3	7d/392d28	17655318	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-11 00:47:33.585	3m 9s	2m 54s	1017.2%	16.7 GB	54.8 GB	68.3 GB	494.7 MB
4	57/5c9109	17655477	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-11 00:49:37.348	1m 35s	23.5s	14.7%	126 MB	1.3 GB	20.8 MB	243.4 KB
5	21/e0fae2	17655555	postprocessing (postprocessing)	COMPLETED	0	2026-07-11 00:51:12.316	1m 35s	33.6s	1.8%	126.9 MB	307 MB	19 MB	375.5 KB
6	cb/807089	17655731	curation (curation)	COMPLETED	0	2026-07-11 00:52:47.462	1m 35s	5.2s	26.5%	150.6 MB	579.8 MB	29.6 MB	305.1 KB
7	ff/0c1fca	17655866	visualization (visualization)	COMPLETED	0	2026-07-11 00:54:22.444	2m 5s	1m 34s	62.3%	2.4 GB	43.4 GB	2.8 GB	29.4 MB
8	73/39a171	17656004	results_collector (result-collector)	COMPLETED	0	2026-07-11 00:56:27.347	34.8s	4.6s	33.4%	139.3 MB	475.1 MB	27.3 MB	1.9 MB
9	e2/16c821	17656074	quality_control (quality-control)	COMPLETED	0	2026-07-11 00:57:02.417	1m 35s	51s	75.5%	766.7 MB	3.1 GB	1.8 GB	5.7 MB
10	50/c3726a	17656075	nwb_units (nwb-units)	COMPLETED	0	2026-07-11 00:57:02.512	1m 35s	5.3s	32.4%	173.2 MB	576.7 MB	135.6 MB	105.4 MB
11	69/ac4117	17656192	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-11 00:58:37.400	34.8s	1.3s	62.4%	50.4 MB	370.9 MB	10.4 MB	2.5 MB
