task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	85/4eb0a7	16196869	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-21 11:18:45.442	3m 9s	6s	21.2%	79.4 MB	407.2 MB	20.1 MB	1.1 MB
2	ab/963bc1	16197022	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-06-21 11:21:55.247	1h 6m 20s	2m 44s	1169.0%	16.7 GB	54.8 GB	69.3 GB	498.4 MB
3	c7/3e3e52	16197021	preprocessing (preprocessing)	COMPLETED	0	2026-06-21 11:21:55.103	1h 28m 5s	1m 30s	72.9%	2.7 GB	2.9 GB	5.4 GB	5 MB
4	e2/e7f191	16201267	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-21 12:50:00.039	1m 35s	1.6s	211.6%	94.4 MB	1.3 GB	20.7 MB	236.7 KB
5	5d/d84630	16201351	postprocessing (postprocessing)	COMPLETED	0	2026-06-21 12:51:34.993	1m 5s	1.5s	35.5%	102 MB	283.4 MB	19 MB	323.6 KB
6	7e/2516a1	16201392	curation (curation)	COMPLETED	0	2026-06-21 12:52:40.161	1m 5s	2s	67.9%	86.5 MB	416.1 MB	29.6 MB	278.6 KB
7	4c/961ed0	16201425	visualization (visualization)	COMPLETED	0	2026-06-21 12:53:45.069	2m 5s	1m 4s	76.0%	2.4 GB	43.4 GB	2.6 GB	25 MB
8	6d/b75cc5	16201534	results_collector (result-collector)	COMPLETED	0	2026-06-21 12:55:50.012	34.9s	2.8s	50.8%	121.4 MB	454.1 MB	27.4 MB	1.9 MB
9	a5/ae848d	16201585	nwb_units (nwb-units)	COMPLETED	0	2026-06-21 12:56:25.146	1m 30s	3s	53.4%	175.1 MB	579.7 MB	139.9 MB	109.7 MB
10	17/5c5852	16201586	quality_control (quality-control)	COMPLETED	0	2026-06-21 12:56:25.233	2m 5s	50.6s	74.8%	768.7 MB	3.1 GB	1.9 GB	5.6 MB
11	0c/014912	16201605	quality_control_collector (qc-collector)	COMPLETED	0	2026-06-21 12:58:30.029	34.8s	1.3s	57.4%	50.6 MB	370.9 MB	10.4 MB	2.5 MB
