task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	8f/76baf7	22363518	job_dispatch (job-dispatch)	COMPLETED	0	2026-09-09 04:01:39.480	34.4s	2s	77.2%	58.2 MB	378.5 MB	19.8 MB	999.2 KB
3	db/7af66b	22363540	preprocessing (preprocessing)	COMPLETED	0	2026-09-09 04:02:14.107	2m 5s	1m 2s	61.0%	1.6 GB	1.8 GB	3.2 GB	3.3 MB
4	4a/21c85d	22363603	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-09-09 04:04:19.023	34.9s	2.2s	157.4%	147.9 MB	1.3 GB	20.8 MB	243.4 KB
5	75/a9ba74	22363634	postprocessing (postprocessing)	COMPLETED	0	2026-09-09 04:04:54.078	34.8s	4s	14.0%	97.2 MB	283.4 MB	18.8 MB	392.3 KB
6	3c/379b2e	22363659	curation (curation)	COMPLETED	0	2026-09-09 04:05:29.000	34.9s	2.5s	47.3%	173.2 MB	600.7 MB	29.6 MB	331 KB
2	d7/99caba	22363541	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-09-09 04:02:14.194	4m 15s	1m 58s	1129.2%	11.5 GB	49.6 GB	41.2 GB	307.1 MB
7	06/bb7531	22363679	visualization (visualization)	COMPLETED	0	2026-09-09 04:06:04.021	2m 5s	58.6s	51.1%	1.9 GB	18.4 GB	1.8 GB	9.9 MB
8	a2/83369d	22363892	results_collector (result-collector)	COMPLETED	0	2026-09-09 04:08:09.004	34.9s	3.7s	43.7%	139.1 MB	475 MB	26.6 MB	1.4 MB
10	0f/e1e730	22363920	nwb_units (nwb-units)	COMPLETED	0	2026-09-09 04:08:44.083	34.8s	4.2s	42.1%	169.4 MB	569.8 MB	97 MB	67 MB
9	ec/f20ed1	22363921	quality_control (quality-control)	COMPLETED	0	2026-09-09 04:08:44.167	1m 10s	25.5s	101.9%	625.9 MB	3 GB	1.3 GB	5.6 MB
11	d6/f7afd8	22363960	quality_control_collector (qc-collector)	COMPLETED	0	2026-09-09 04:09:54.073	34.8s	3.4s	19.4%	50.5 MB	370.9 MB	10.4 MB	2.4 MB
