task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	32/bf9615	17190321	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-05 03:45:56.880	1m 9s	1.5s	91.2%	79.7 MB	407.6 MB	20 MB	1.1 MB
2	62/cd18a0	17190340	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-05 03:47:06.515	4m 15s	3m 16s	1056.0%	15.9 GB	54 GB	73.1 GB	517.8 MB
3	2b/61df11	17190341	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 03:47:06.708	8m 14s	6m 53s	560.5%	64.4 GB	115.2 GB	89.4 GB	67.3 GB
4	cf/a9e480	17190551	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 03:55:21.208	23m 5s	22m 42s	936.6%	26.7 GB	55.2 GB	121.7 MB	414.2 MB
5	0f/e4baba	17191364	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 04:18:26.254	28m 5s	27m 22s	1158.4%	251.2 GB	390.1 GB	12.7 GB	14.3 GB
6	92/c838be	17192194	curation (curation)	COMPLETED	0	2026-07-05 04:46:31.299	2m 5s	1m 24s	20.6%	14.4 GB	15.7 GB	932 MB	324.8 KB
7	f3/98d414	17192258	visualization (visualization)	COMPLETED	0	2026-07-05 04:48:36.354	6m 10s	5m 36s	61.5%	16.7 GB	54.2 GB	6.2 GB	389.6 MB
8	e0/87af4e	17192448	results_collector (result-collector)	COMPLETED	0	2026-07-05 04:54:46.328	2m 5s	44.2s	17.0%	380.8 MB	1 GB	886.3 MB	844 MB
9	ed/807d88	17192531	nwb_units (nwb-units)	COMPLETED	0	2026-07-05 04:56:51.498	2m 5s	49.1s	69.3%	3 GB	3.9 GB	233.6 MB	762.4 MB
10	d2/89db89	17192532	quality_control (quality-control)	COMPLETED	0	2026-07-05 04:56:51.599	3m 10s	1m 51s	58.9%	2.1 GB	5 GB	3.4 GB	7 MB
11	d7/e0fc2a	17192606	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-05 05:00:01.302	1m 25s	8.9s	6.1%	50.8 MB	370.9 MB	11.7 MB	3.8 MB
