task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	50/d916b3	17190796	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-05 04:01:58.571	1m 9s	3.3s	46.4%	360.9 MB	687.3 MB	20 MB	1.1 MB
2	92/cbe75a	17190850	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-05 04:03:08.213	4m 5s	2m 38s	1201.2%	16 GB	54.1 GB	89 GB	501.7 MB
3	b9/6189b5	17190851	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 04:03:08.316	10m 4s	9m 2s	737.5%	111.3 GB	162.5 GB	138.1 GB	103 GB
4	64/784f73	17191167	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 04:13:12.859	30m 5s	27m 30s	594.6%	27.1 GB	55.9 GB	145.9 MB	575 MB
5	80/f1e00c	17192097	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 04:43:17.926	14m 10s	13m 45s	1200.9%	135.6 GB	225.2 GB	4.8 GB	6.2 GB
6	ff/d32508	17192537	curation (curation)	COMPLETED	0	2026-07-05 04:57:27.913	2m 10s	1m	26.9%	7.9 GB	9.2 GB	1.1 GB	320.7 KB
7	5f/5716db	17192590	visualization (visualization)	COMPLETED	0	2026-07-05 04:59:38.308	7m 4s	5m 4s	63.5%	10.2 GB	47.5 GB	8.3 GB	304 MB
8	d3/70e889	17192815	results_collector (result-collector)	COMPLETED	0	2026-07-05 05:06:42.966	2m 5s	43s	17.6%	482 MB	1.4 GB	1.1 GB	1.1 GB
10	2c/df2e0f	17192878	nwb_units (nwb-units)	COMPLETED	0	2026-07-05 05:08:48.087	1m 35s	31.3s	82.7%	2.3 GB	3.2 GB	247.5 MB	572.1 MB
9	83/35b131	17192879	quality_control (quality-control)	COMPLETED	0	2026-07-05 05:08:48.196	3m 10s	1m 35s	70.6%	1.8 GB	4.6 GB	4.4 GB	8.1 MB
11	d9/d4e44e	17192971	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-05 05:11:57.953	1m 35s	2.8s	28.3%	50.3 MB	370.9 MB	12.8 MB	4.9 MB
