task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	c9/7775e3	17193558	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-05 05:31:56.696	1m 9s	1.4s	68.5%	78.2 MB	406.5 MB	20 MB	1.1 MB
2	fe/737009	17193586	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-05 05:33:06.400	3m 35s	2m 35s	1212.2%	16 GB	54.1 GB	93 GB	517.9 MB
3	12/21d8b7	17193587	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 05:33:06.587	8m 10s	7m 8s	393.7%	107.9 GB	158.9 GB	138.1 GB	100.9 GB
4	c0/024de4	17193733	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 05:41:16.582	14m 4s	12m 47s	466.4%	23.2 GB	50.8 GB	100.4 MB	192.7 MB
5	2a/1f9835	17194439	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 05:55:21.214	8m 5s	7m 5s	862.5%	168.3 GB	243.7 GB	2.6 GB	3.4 GB
6	d2/25fa89	17194974	curation (curation)	COMPLETED	0	2026-07-05 06:03:27.085	1m 4s	37.4s	43.2%	6.2 GB	7.4 GB	585.4 MB	320.2 KB
7	b0/3c8526	17195003	visualization (visualization)	COMPLETED	0	2026-07-05 06:04:31.278	4m 5s	3m 25s	81.0%	8.5 GB	46 GB	8.4 GB	220.7 MB
8	8f/701c80	17195220	results_collector (result-collector)	COMPLETED	0	2026-07-05 06:08:36.294	34.8s	16.2s	35.1%	297.7 MB	965 MB	506.4 MB	454.8 MB
9	81/6c299e	17195273	nwb_units (nwb-units)	COMPLETED	0	2026-07-05 06:09:11.312	1m 5s	31.6s	67.2%	2 GB	2.9 GB	239.3 MB	533.8 MB
10	25/da7e7a	17195274	quality_control (quality-control)	COMPLETED	0	2026-07-05 06:09:11.415	2m 10s	1m 46s	65.2%	1.7 GB	4.6 GB	4.6 GB	7.2 MB
11	a7/600f59	17195353	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-05 06:11:21.234	29.9s	1.5s	40.6%	50.4 MB	370.9 MB	11.9 MB	4 MB
