task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	0f/c5c23d	18590485	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-23 03:32:34.513	3m 9s	4s	39.6%	59 MB	378.6 MB	20 MB	1.1 MB
3	7c/3e0cf8	18590560	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-23 03:35:44.353	13m 5s	2m 48s	1283.1%	15.9 GB	54.1 GB	89.2 GB	500.5 MB
2	6f/e78c6c	18590558	preprocessing (preprocessing)	COMPLETED	0	2026-07-23 03:35:44.264	14m 5s	7m 28s	841.0%	111.6 GB	162.5 GB	138.3 GB	102.6 GB
4	b2/a2fbb2	18591040	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-23 03:49:49.115	25m 45s	23m 47s	640.4%	26 GB	54.7 GB	135.9 MB	489.7 MB
5	f4/d753df	18592550	postprocessing (postprocessing)	COMPLETED	0	2026-07-23 04:15:34.135	12m 5s	10m 4s	1173.7%	196.1 GB	277.2 GB	4 GB	5.2 GB
6	c7/d3853e	18593358	curation (curation)	COMPLETED	0	2026-07-23 04:27:39.152	2m 35s	30.1s	53.8%	7.2 GB	8.6 GB	997.1 MB	320.9 KB
7	bc/aabdd1	18593521	visualization (visualization)	COMPLETED	0	2026-07-23 04:30:14.162	6m 5s	3m 15s	94.8%	9.6 GB	46.9 GB	8.5 GB	300.2 MB
8	b7/2b6ec0	18593936	results_collector (result-collector)	COMPLETED	0	2026-07-23 04:36:19.186	6m 5s	2m 16s	5.9%	441.6 MB	1.3 GB	997.2 MB	963.5 MB
10	41/07f62e	18594292	nwb_units (nwb-units)	COMPLETED	0	2026-07-23 04:42:25.141	4m 4s	38.6s	69.2%	2.1 GB	2.9 GB	250.2 MB	561.2 MB
9	aa/958eb1	18594293	quality_control (quality-control)	COMPLETED	0	2026-07-23 04:42:25.231	5m 9s	1m 24s	81.8%	1.8 GB	4.6 GB	4.3 GB	8 MB
11	43/489185	18594722	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-23 04:47:34.183	1m 35s	1.1s	95.9%	50.6 MB	370.9 MB	12.7 MB	4.8 MB
