task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	b9/5745ab	17617306	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-10 14:33:20.955	2m 9s	1.6s	139.4%	67.4 MB	388.4 MB	20.1 MB	1.2 MB
2	96/513d12	17617366	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-10 14:35:30.772	11m 5s	4m 9s	885.6%	16.5 GB	54.7 GB	91.6 GB	521.4 MB
3	c6/88a209	17617367	preprocessing (preprocessing)	COMPLETED	0	2026-07-10 14:35:31.303	24m 9s	14m 59s	258.0%	135.6 GB	186.8 GB	161.9 GB	126.2 GB
4	f4/5c2a06	17618621	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-10 14:59:40.956	39m	37m 52s	146.3%	24.8 GB	54.4 GB	104 MB	184.3 MB
5	c4/ef3831	17621266	postprocessing (postprocessing)	COMPLETED	0	2026-07-10 15:38:40.703	13m 20s	7m 2s	446.5%	145.2 GB	210.4 GB	1 GB	1.4 GB
6	44/9f4e86	17622158	curation (curation)	COMPLETED	0	2026-07-10 15:52:00.935	5m 30s	3m	5.1%	4.3 GB	5.5 GB	343.6 MB	314.6 KB
7	12/37079d	17622419	visualization (visualization)	COMPLETED	0	2026-07-10 15:57:31.879	9m 4s	5m 35s	47.9%	6.5 GB	43.9 GB	8.1 GB	167.5 MB
8	1c/1679cd	17623194	results_collector (result-collector)	COMPLETED	0	2026-07-10 16:06:36.235	5m 34s	4m 9s	2.6%	302.6 MB	969.7 MB	284.2 MB	231.7 MB
10	4b/0c2a4b	17623626	nwb_units (nwb-units)	COMPLETED	0	2026-07-10 16:12:11.550	5m 4s	2m 47s	9.0%	1.4 GB	2.3 GB	232.3 MB	390.5 MB
9	48/498355	17623625	quality_control (quality-control)	COMPLETED	0	2026-07-10 16:12:11.331	6m 34s	1m 52s	66.6%	859.4 MB	3.2 GB	4.5 GB	7.1 MB
11	f6/b5b99d	17623931	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-10 16:18:45.757	1m 35s	814ms	98.2%	18.4 MB	166.7 MB	11.8 MB	3.8 MB
