task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	86/233cd7	18834848	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-25 05:54:00.958	5m 4s	2m 8s	1.4%	360.6 MB	686.7 MB	20.1 MB	1.1 MB
3	9d/98fc64	18835020	preprocessing (preprocessing)	COMPLETED	0	2026-07-25 05:59:07.430	20m 3s	18m 40s	5.8%	2.6 GB	2.8 GB	5.3 GB	4.9 MB
2	db/559041	18835021	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-25 05:59:07.534	20m 28s	18m 57s	161.4%	16.4 GB	54.6 GB	65.5 GB	480.9 MB
4	e4/3c586b	18836496	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-25 06:19:10.902	3m 9s	9.6s	26.4%	147.5 MB	1.3 GB	20.7 MB	243.4 KB
5	69/825958	18836738	postprocessing (postprocessing)	COMPLETED	0	2026-07-25 06:22:20.139	5m 5s	2m 41s	0.4%	130.5 MB	309 MB	19 MB	383.4 KB
6	dd/8cf4ae	18836976	curation (curation)	COMPLETED	0	2026-07-25 06:27:26.517	2m 33s	50s	2.4%	82.9 MB	412.2 MB	29.6 MB	305.1 KB
7	dd/1f33be	18837080	visualization (visualization)	COMPLETED	0	2026-07-25 06:30:00.149	21m 5s	19m 29s	4.4%	2.3 GB	43.4 GB	2.8 GB	28.1 MB
8	39/3e9e49	18838112	results_collector (result-collector)	COMPLETED	0	2026-07-25 06:51:05.183	6m 10s	4m 26s	0.6%	139.7 MB	476.8 MB	27.2 MB	1.8 MB
9	fe/a7c0fb	18838439	nwb_units (nwb-units)	COMPLETED	0	2026-07-25 06:57:15.595	1m 34s	39.6s	4.0%	151.8 MB	548 MB	134.8 MB	104.6 MB
10	6f/23d1bc	18838438	quality_control (quality-control)	COMPLETED	0	2026-07-25 06:57:15.243	11m 5s	9m 46s	6.7%	754.5 MB	3.1 GB	1.9 GB	5.7 MB
11	2b/9165e1	18838996	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-25 07:08:20.574	4m 4s	2m 34s	0.4%	48.2 MB	368.2 MB	10.4 MB	2.4 MB
