task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	df/90b0d6	17196107	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-05 06:30:58.386	1m 9s	1.3s	87.3%	76 MB	404.1 MB	20.6 MB	1.8 MB
4	b0/8a6c89	17196144	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 06:32:08.107	2m 4s	1m 32s	277.1%	9.7 GB	59.5 GB	11.1 GB	1.8 GB
3	41/9e9968	17196145	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 06:32:08.218	2m 4s	1m 32s	263.0%	9.7 GB	59.5 GB	11.1 GB	1.8 GB
2	21/464d39	17196143	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-05 06:32:07.932	3m 5s	1m 47s	904.0%	9.9 GB	48 GB	62.5 GB	136 MB
7	dd/23bb7a	17196306	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 06:34:12.811	1m 10s	41.7s	428.3%	3.2 GB	25.8 GB	75.9 MB	41.3 MB
5	78/94a14b	17196146	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 06:32:08.314	4m 9s	1m 10s	353.4%	9.6 GB	59.4 GB	11.2 GB	1.8 GB
6	ce/c74ccf	17196147	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 06:32:08.413	4m 9s	1m 10s	357.6%	9.6 GB	59.5 GB	11.2 GB	1.8 GB
8	e8/6437e4	17196305	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 06:34:12.710	2m 5s	39.1s	369.9%	3.1 GB	27.4 GB	73.3 MB	25.3 MB
9	23/ce933b	17196424	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 06:36:17.634	1m 5s	40.9s	487.9%	3.1 GB	26.3 GB	76.6 MB	47.1 MB
10	1d/85182a	17196425	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 06:36:17.737	2m 5s	1m 4s	370.5%	3.2 GB	24.4 GB	78.8 MB	64.1 MB
11	d4/877d77	17196561	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 06:38:22.648	2m 5s	1m 22s	725.3%	12 GB	56.6 GB	556.2 MB	723.8 MB
13	c7/c64887	17196563	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 06:38:22.862	2m 5s	1m 21s	942.3%	15.1 GB	62.5 GB	854.5 MB	1.2 GB
