task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a6/35b1d2	17198766	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-05 07:46:54.874	1m 10s	1.3s	92.5%	221.9 MB	548.8 MB	20.6 MB	1.8 MB
4	03/e433df	17198802	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 07:48:04.954	2m 34s	1m 39s	332.5%	9.1 GB	58.8 GB	11.7 GB	1.8 GB
3	eb/dd260d	17198801	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 07:48:04.856	2m 34s	1m 35s	266.9%	9.5 GB	59.4 GB	11.4 GB	1.8 GB
2	a2/70691a	17198800	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 07:48:04.679	3m 5s	1m 33s	303.3%	8.5 GB	55.2 GB	11.4 GB	1.8 GB
6	27/a2394f	17198803	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 07:48:05.047	4m 39s	1m 15s	390.1%	9.7 GB	59.5 GB	11.7 GB	1.8 GB
5	6f/353cb4	17198804	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-05 07:48:05.131	4m 39s	1m 30s	1110.9%	9.9 GB	48 GB	65.3 GB	141.6 MB
7	d9/c4d838	17198883	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 07:50:39.436	2m 5s	35.7s	243.1%	3.1 GB	17.8 GB	71.4 MB	13.2 MB
8	e4/011ecd	17198885	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 07:50:39.527	2m 5s	36.1s	317.4%	3.1 GB	30.1 GB	72 MB	17.2 MB
9	76/5ae405	17198892	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 07:51:09.429	2m 10s	37.5s	251.2%	3.1 GB	17.8 GB	71.9 MB	16.3 MB
10	02/a86fd5	17198937	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 07:52:44.446	1m 10s	38s	330.6%	3.1 GB	29.4 GB	72.4 MB	19.8 MB
13	ad/74ca3e	17198976	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 07:53:54.561	1m 35s	44.3s	249.8%	8.5 GB	52.6 GB	341 MB	402.4 MB
15	1b/c5dd37	17199004	curation (curation)	COMPLETED	0	2026-07-05 07:55:29.461	29.9s	17s	34.1%	781.3 MB	1.9 GB	257.4 MB	314.6 KB
12	ed/5e7911	17198975	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 07:53:54.465	3m 5s	1m 22s	658.3%	11.5 GB	55.4 GB	475.3 MB	574.6 MB
14	e0/6ad66c	17198978	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 07:53:54.744	3m 5s	1m 31s	658.4%	12.7 GB	58 GB	624.8 MB	825.2 MB
11	e5/ebcfb7	17198977	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 07:53:54.648	3m 10s	1m 21s	569.4%	11.5 GB	56.6 GB	556.9 MB	723.7 MB
16	cd/f02526	17199057	curation (curation)	COMPLETED	0	2026-07-05 07:56:59.463	59.9s	15.5s	35.9%	428.7 MB	1.6 GB	291.9 MB	314.9 KB
18	b3/63342d	17199059	curation (curation)	COMPLETED	0	2026-07-05 07:57:04.416	1m 5s	23.3s	29.5%	879 MB	1.9 GB	356.8 MB	315 KB
17	fe/9fbc12	17199058	curation (curation)	COMPLETED	0	2026-07-05 07:56:59.557	1m 35s	27.8s	20.6%	911.5 MB	2.2 GB	389.5 MB	315 KB
19	79/978526	17199089	visualization (visualization)	COMPLETED	0	2026-07-05 07:58:34.502	2m 5s	1m 35s	68.5%	1.8 GB	27.6 GB	3.6 GB	31.8 MB
21	cc/fe2bde	17199090	visualization (visualization)	COMPLETED	0	2026-07-05 07:58:34.601	2m 5s	1m 51s	68.4%	2.1 GB	19.9 GB	3.7 GB	38.6 MB
22	99/e6744f	17199092	visualization (visualization)	COMPLETED	0	2026-07-05 07:58:34.775	2m 10s	1m 32s	79.6%	2.2 GB	19.5 GB	3.8 GB	40.2 MB
20	3d/d9ab7c	17199091	visualization (visualization)	COMPLETED	0	2026-07-05 07:58:34.693	2m 10s	1m 27s	82.9%	1.8 GB	23.7 GB	3.5 GB	38.6 MB
23	4d/ceba2b	17199199	results_collector (result-collector)	COMPLETED	0	2026-07-05 08:00:44.505	2m 5s	1m 5s	8.9%	235.2 MB	886.2 MB	946.1 MB	896.3 MB
25	c1/a0546a	17199284	quality_control (quality-control)	COMPLETED	0	2026-07-05 08:02:49.563	1m 35s	23.1s	92.4%	553.3 MB	2.9 GB	1.9 GB	5.5 MB
26	c9/7a6ebd	17199287	quality_control (quality-control)	COMPLETED	0	2026-07-05 08:02:49.886	1m 34s	40.4s	54.1%	539 MB	2.9 GB	1.8 GB	5.6 MB
27	1c/81aa16	17199285	quality_control (quality-control)	COMPLETED	0	2026-07-05 08:02:49.683	1m 35s	34.3s	69.0%	539 MB	2.9 GB	1.9 GB	5.7 MB
28	81/f63f9b	17199286	quality_control (quality-control)	COMPLETED	0	2026-07-05 08:02:49.766	1m 35s	41.9s	55.6%	552.9 MB	2.9 GB	1.9 GB	5.7 MB
24	05/28c108	17199288	nwb_units (nwb-units)	COMPLETED	0	2026-07-05 08:02:50.042	1m 34s	19.1s	39.8%	281.4 MB	965.1 MB	125.9 MB	91.2 MB
29	a0/df5738	17199340	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-05 08:04:24.462	34.9s	4.4s	17.0%	51 MB	370.9 MB	17.1 MB	9.1 MB
