task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	9f/b32d3f	17225372	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-05 14:31:32.211	34.5s	5.1s	84.1%	9.5 GB	11.8 GB	19.4 MB	616.4 KB
2	b1/194fa2	17225413	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-05 14:32:07.122	5m 45s	4m 41s	1400.3%	8.5 GB	46.5 GB	170.8 GB	1 GB
3	9c/b70ccf	17225412	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 14:32:06.913	1h 31m 45s	1h 30m 58s	553.9%	122.1 GB	129.3 GB	80.6 GB	61.3 GB
4	3c/021fa9	17231892	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 16:03:52.014	20m 10s	17m 43s	496.8%	63.7 GB	83.6 GB	277.7 MB	1.7 GB
5	d5/f287b2	17233819	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 16:24:02.056	8m 5s	7m 24s	201.9%	29.7 GB	71.1 GB	1.1 GB	1.2 GB
6	b7/7ce7bb	17234383	curation (curation)	COMPLETED	0	2026-07-05 16:32:07.035	1m 5s	21.5s	42.3%	1.6 GB	2.7 GB	245 MB	316.7 KB
7	a3/64c9e7	17234414	visualization (visualization)	COMPLETED	0	2026-07-05 16:33:12.052	2m 5s	1m 21s	61.5%	21.6 GB	35.2 GB	1.3 GB	160.6 MB
8	40/a47c94	17234549	results_collector (result-collector)	COMPLETED	0	2026-07-05 16:35:17.109	1m 5s	22.6s	41.3%	882.2 MB	1.7 GB	508.7 MB	576.7 MB
9	fd/745dfb	17234563	quality_control (quality-control)	COMPLETED	0	2026-07-05 16:36:22.180	1m 5s	35.2s	53.2%	4.3 GB	6.9 GB	1.1 GB	6 MB
10	de/6b615d	17234564	nwb_units (nwb-units)	COMPLETED	0	2026-07-05 16:36:22.285	1m 5s	20.8s	65.3%	977.2 MB	1.8 GB	268.6 MB	281.1 MB
11	12/47cf58	17234666	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-05 16:37:27.083	34.8s	1.6s	48.6%	50.5 MB	370.9 MB	10.7 MB	2.7 MB
