task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	d7/473fe6	19040311	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-28 03:03:29.048	3m 9s	5.4s	69.3%	5 GB	5.3 GB	19.4 MB	653.2 KB
2	24/ca5ffd	19040431	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-28 03:06:38.255	6m 5s	3m 19s	1373.6%	7.1 GB	45.1 GB	128.2 GB	714 MB
3	29/5342ca	19040430	preprocessing (preprocessing)	COMPLETED	0	2026-07-28 03:06:38.151	31m 10s	28m 9s	847.2%	51.9 GB	59.7 GB	61.2 GB	40 GB
4	23/de09ba	19042596	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-28 03:37:48.020	51m 40s	48m 48s	896.9%	58.1 GB	74.4 GB	630.8 MB	4.5 GB
5	88/f71b34	19046583	postprocessing (postprocessing)	COMPLETED	0	2026-07-28 04:29:28.147	7m 5s	6m 37s	404.2%	66.9 GB	103.3 GB	2.5 GB	2.8 GB
6	6f/e41326	19046940	curation (curation)	COMPLETED	0	2026-07-28 04:36:33.105	3m 40s	33.1s	62.1%	3.2 GB	4.4 GB	435.8 MB	344.8 KB
7	79/831c2b	19047197	visualization (visualization)	COMPLETED	0	2026-07-28 04:40:13.108	4m 5s	1m 36s	70.5%	16.8 GB	32.2 GB	1.8 GB	387.7 MB
8	af/1f4fb8	19047333	results_collector (result-collector)	COMPLETED	0	2026-07-28 04:44:18.103	1m 30s	25.7s	72.3%	2.1 GB	2.7 GB	1.4 GB	1.6 GB
9	93/c5f1be	19047382	nwb_units (nwb-units)	COMPLETED	0	2026-07-28 04:45:48.250	3m 35s	40.9s	85.1%	2.1 GB	2.8 GB	258 MB	333.4 MB
10	dc/818fcf	19047383	quality_control (quality-control)	COMPLETED	0	2026-07-28 04:45:48.349	3m 35s	31s	82.0%	3.4 GB	6.1 GB	1.3 GB	8.4 MB
11	ff/f7f9eb	19047494	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-28 04:49:23.158	2m 35s	836ms	95.4%	7.2 MB	13 MB	13.1 MB	5.1 MB
