task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	55/d5ddd5	19135540	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-28 23:18:49.191	1m 34s	11s	95.1%	7.4 GB	7.8 GB	19.4 MB	652.3 KB
3	0b/ae23a0	19135661	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-28 23:20:23.939	4m 45s	3m 33s	1435.0%	7.1 GB	45.1 GB	128.2 GB	714 MB
2	fa/c3af02	19135663	preprocessing (preprocessing)	COMPLETED	0	2026-07-28 23:20:24.046	28m 10s	26m 28s	699.7%	51.8 GB	59.7 GB	61.2 GB	40 GB
4	04/479756	19138012	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-28 23:48:33.820	50m 20s	47m 53s	912.8%	57.9 GB	74.4 GB	633.2 MB	4.5 GB
5	e8/88e233	19143165	postprocessing (postprocessing)	COMPLETED	0	2026-07-29 00:38:53.872	7m 10s	6m 39s	372.5%	67.8 GB	104.1 GB	2.5 GB	2.8 GB
6	89/c68759	19143767	curation (curation)	COMPLETED	0	2026-07-29 00:46:03.868	1m 35s	26.7s	63.0%	4 GB	5.1 GB	437.2 MB	344.8 KB
7	e2/55106d	19143889	visualization (visualization)	COMPLETED	0	2026-07-29 00:47:38.937	4m 40s	3m 47s	78.0%	16.8 GB	51.8 GB	1.8 GB	385.7 MB
8	c9/90f5cf	19144400	results_collector (result-collector)	COMPLETED	0	2026-07-29 00:52:18.902	1m 35s	44.7s	47.1%	2.1 GB	2.7 GB	1.4 GB	1.6 GB
10	81/e19869	19144636	quality_control (quality-control)	COMPLETED	0	2026-07-29 00:53:54.028	1m 5s	34.2s	76.4%	3.4 GB	6 GB	1.3 GB	8.4 MB
9	30/b0902c	19144633	nwb_units (nwb-units)	COMPLETED	0	2026-07-29 00:53:53.926	1m 5s	39.7s	87.0%	2.2 GB	2.8 GB	258.2 MB	333.7 MB
11	94/0679f2	19144775	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-29 00:54:58.870	34.9s	3.1s	24.6%	48.1 MB	368.2 MB	13.1 MB	5.2 MB
