task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	1f/94ec96	19135541	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-28 23:18:49.190	1m 34s	1.8s	117.8%	51.3 MB	369 MB	19.4 MB	642.9 KB
2	b3/0c2d7c	19135662	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-28 23:20:23.968	1m 35s	21.1s	989.5%	7.1 GB	45.3 GB	1.7 GB	18.3 MB
3	76/2d5cee	19135665	preprocessing (preprocessing)	COMPLETED	0	2026-07-28 23:20:24.103	1m 35s	9.5s	28.4%	279.2 MB	474.3 MB	367.2 MB	735.1 KB
4	46/945c17	19135775	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-28 23:21:58.866	3m 35s	4s	90.0%	105.2 MB	1.3 GB	20.7 MB	243.4 KB
5	f8/f529ea	19136171	postprocessing (postprocessing)	COMPLETED	0	2026-07-28 23:25:33.743	1m 35s	1.6s	31.9%	88.2 MB	283.4 MB	18.5 MB	387.5 KB
6	88/7caf67	19136274	curation (curation)	COMPLETED	0	2026-07-28 23:27:08.734	1m 30s	2.8s	55.7%	159.9 MB	589.4 MB	29.7 MB	331 KB
7	27/38ee58	19136390	visualization (visualization)	COMPLETED	0	2026-07-28 23:28:38.857	1m 5s	33.7s	53.2%	1.1 GB	27.3 GB	487.2 MB	4.2 MB
8	cf/27ff03	19136516	results_collector (result-collector)	COMPLETED	0	2026-07-28 23:29:43.770	34.8s	2.5s	70.9%	138.3 MB	473.9 MB	26.6 MB	1.8 MB
9	31/b9e6e6	19136541	quality_control (quality-control)	COMPLETED	0	2026-07-28 23:30:18.818	1m 20s	7.7s	103.6%	457.5 MB	2.8 GB	458.5 MB	4 MB
10	b0/8bfb02	19136542	nwb_units (nwb-units)	COMPLETED	0	2026-07-28 23:30:18.901	1m 20s	4.8s	34.2%	175 MB	579.7 MB	34.3 MB	4.6 MB
11	e0/9b031e	19136640	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-28 23:31:38.834	34.8s	2.9s	29.1%	48.1 MB	368.2 MB	8.7 MB	749.4 KB
