task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	85/68ee35	17257672	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-05 21:31:43.850	1m 4s	1.4s	145.9%	70.2 MB	395 MB	19.4 MB	606.3 KB
3	de/1db5eb	17257747	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 21:32:48.273	1m 35s	16.7s	17.3%	279.8 MB	475 MB	328.8 MB	730.2 KB
2	30/5877a5	17257748	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-05 21:32:48.397	1m 35s	30.9s	862.1%	7.2 GB	45.3 GB	2 GB	25.4 MB
4	4d/b4020b	17257808	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 21:34:23.092	34.8s	5.3s	66.1%	90.8 MB	1.3 GB	20.7 MB	243.4 KB
5	3a/552a8f	17257871	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 21:34:58.086	1m 5s	1.5s	35.1%	97.2 MB	283.4 MB	18.5 MB	375.5 KB
6	cb/9929e5	17257912	curation (curation)	COMPLETED	0	2026-07-05 21:36:03.190	59.8s	2.8s	39.5%	169.1 MB	596.4 MB	29.6 MB	305.1 KB
7	39/a17272	17257972	visualization (visualization)	COMPLETED	0	2026-07-05 21:37:03.197	1m 5s	25.8s	49.1%	1.2 GB	18 GB	433.5 MB	3.2 MB
8	87/c3a283	17257997	results_collector (result-collector)	COMPLETED	0	2026-07-05 21:38:08.089	1m 5s	2.3s	54.5%	137 MB	470.9 MB	26.2 MB	1.4 MB
9	cd/b633d9	17258072	quality_control (quality-control)	COMPLETED	0	2026-07-05 21:39:13.186	1m 5s	10.8s	69.6%	454.3 MB	2.8 GB	403.7 MB	3.9 MB
10	57/d4e911	17258073	nwb_units (nwb-units)	COMPLETED	0	2026-07-05 21:39:13.282	1m 5s	7.8s	20.1%	180.1 MB	586.4 MB	38.1 MB	8.4 MB
11	1c/d2e132	17258104	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-05 21:40:18.087	34.8s	1.3s	50.1%	50.5 MB	370.9 MB	8.6 MB	673 KB
