task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	11/9ec6b2	18220563	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-17 22:46:58.505	3m 9s	4.4s	47.4%	51.8 MB	369 MB	19.4 MB	643.8 KB
2	f1/5340bb	18220826	preprocessing (preprocessing)	COMPLETED	0	2026-07-17 22:50:08.242	3m 35s	21.3s	24.5%	290.6 MB	485.7 MB	323.6 MB	735.1 KB
4	f8/0eaa70	18221106	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-17 22:53:42.990	34.9s	4s	87.5%	112.9 MB	1.3 GB	20.8 MB	243.4 KB
3	bc/12029c	18220828	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-17 22:50:08.329	4m 10s	1m 5s	1224.8%	7.6 GB	45.6 GB	3.4 GB	66.2 MB
5	cb/7f8464	18221182	postprocessing (postprocessing)	COMPLETED	0	2026-07-17 22:54:18.003	2m 35s	2.2s	24.8%	135.1 MB	313.4 MB	18.5 MB	382.5 KB
6	2d/1900d8	18221463	curation (curation)	COMPLETED	0	2026-07-17 22:56:53.017	2m 35s	5.7s	32.0%	175.1 MB	603.6 MB	29.6 MB	305.1 KB
7	85/15f384	18221654	visualization (visualization)	COMPLETED	0	2026-07-17 22:59:28.021	4m 5s	39.2s	45.9%	1.8 GB	18.6 GB	398.1 MB	2.9 MB
8	9d/0857be	18221919	results_collector (result-collector)	COMPLETED	0	2026-07-17 23:03:33.025	2m 35s	3.5s	43.0%	138.5 MB	475.6 MB	26.1 MB	1.2 MB
10	47/8d04ba	18222095	nwb_units (nwb-units)	COMPLETED	0	2026-07-17 23:06:08.114	3m 5s	5.9s	26.5%	175.8 MB	579.7 MB	53.1 MB	23.4 MB
9	f4/fe42e3	18222096	quality_control (quality-control)	COMPLETED	0	2026-07-17 23:06:08.209	3m 5s	13.1s	58.9%	631.7 MB	3 GB	402.8 MB	4 MB
11	cc/8cb4fe	18222339	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-17 23:09:13.048	3m 5s	1.4s	47.8%	35.9 MB	354.5 MB	8.7 MB	788.3 KB
