task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	61/c5b108	19041225	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-28 03:18:43.163	3m 9s	4s	57.5%	624.9 MB	964.5 MB	19.4 MB	643.7 KB
2	95/3c3ad9	19041420	preprocessing (preprocessing)	COMPLETED	0	2026-07-28 03:21:53.004	3m 35s	19.1s	35.4%	256.8 MB	453 MB	646.3 MB	734.2 KB
3	e6/6b37a5	19041421	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-28 03:21:53.156	5m 9s	1m 50s	1400.6%	8 GB	46 GB	7.9 GB	120.2 MB
4	98/f71e37	19041686	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-28 03:25:27.664	2m 35s	4.1s	84.6%	98.7 MB	1.3 GB	20.7 MB	243.4 KB
5	a4/b131af	19041864	postprocessing (postprocessing)	COMPLETED	0	2026-07-28 03:28:02.725	3m	2.6s	22.6%	123.9 MB	301.5 MB	18.5 MB	386.5 KB
6	eb/200612	19042096	curation (curation)	COMPLETED	0	2026-07-28 03:31:02.668	3m 35s	5.1s	23.7%	161.8 MB	589.4 MB	29.6 MB	331 KB
7	98/26f8b1	19042284	visualization (visualization)	COMPLETED	0	2026-07-28 03:34:37.718	4m 10s	31.9s	54.2%	2.5 GB	19.3 GB	564.9 MB	3 MB
8	08/1f63b1	19042699	results_collector (result-collector)	COMPLETED	0	2026-07-28 03:38:47.710	1m 35s	2.3s	62.6%	138.6 MB	475.6 MB	26.3 MB	1.4 MB
9	10/96897d	19042843	nwb_units (nwb-units)	COMPLETED	0	2026-07-28 03:40:22.831	3m 10s	7.6s	21.1%	179.8 MB	586.4 MB	74.8 MB	45.1 MB
10	93/f9d6cd	19042842	quality_control (quality-control)	COMPLETED	0	2026-07-28 03:40:22.728	3m 35s	13.6s	71.0%	884.4 MB	3.2 GB	517.7 MB	4 MB
11	3f/aa24b9	19042957	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-28 03:43:57.730	2m 35s	1.4s	56.5%	41.9 MB	361.6 MB	8.7 MB	791.4 KB
