task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a8/a9d29d	17260998	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-05 22:31:55.866	1m 10s	1.8s	75.7%	80.1 MB	407.7 MB	19.4 MB	607 KB
2	7e/4a10e3	17261077	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 22:33:06.229	59.2s	11.8s	24.0%	271.8 MB	468.1 MB	491.9 MB	776.7 KB
3	52/0a9692	17261080	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-05 22:33:07.365	3m 3s	1m 34s	1337.8%	7.8 GB	45.8 GB	9 GB	120.2 MB
4	25/6a5803	17261135	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 22:34:05.519	2m 15s	4.3s	80.8%	145.8 MB	1.3 GB	20.7 MB	243.4 KB
5	60/f66dc7	17261290	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 22:36:20.517	34.8s	1.6s	37.4%	91.2 MB	283.4 MB	18.5 MB	375.5 KB
6	48/143651	17261292	curation (curation)	COMPLETED	0	2026-07-05 22:36:55.466	1m 35s	2.6s	40.2%	168.8 MB	596.6 MB	29.6 MB	305.1 KB
7	6f/043e79	17261432	visualization (visualization)	COMPLETED	0	2026-07-05 22:38:30.488	1m 5s	33.8s	42.7%	2.6 GB	19.4 GB	494.5 MB	3.2 MB
8	e3/d512b9	17261521	results_collector (result-collector)	COMPLETED	0	2026-07-05 22:39:35.466	34.9s	2.3s	64.7%	136.7 MB	470.9 MB	26.3 MB	1.4 MB
9	54/5a2d30	17261551	quality_control (quality-control)	COMPLETED	0	2026-07-05 22:40:10.634	1m 5s	9.7s	71.6%	883.2 MB	3.2 GB	443.5 MB	3.9 MB
10	5d/a9d21c	17261550	nwb_units (nwb-units)	COMPLETED	0	2026-07-05 22:40:10.547	1m 5s	3.9s	54.9%	180.3 MB	586.4 MB	74.9 MB	44.7 MB
11	fe/2a561a	17261613	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-05 22:41:15.473	34.9s	1.5s	47.2%	50.4 MB	369.9 MB	8.6 MB	699.3 KB
