task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	d5/820e30	18595821	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-23 05:01:47.415	3m 9s	2s	104.6%	62.3 MB	382.2 MB	19.4 MB	643.4 KB
3	18/e99465	18596100	preprocessing (preprocessing)	COMPLETED	0	2026-07-23 05:04:57.162	3m 35s	16.8s	16.8%	271.7 MB	468.2 MB	479.1 MB	781.6 KB
2	b8/e5204e	18596101	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-23 05:04:57.246	5m 10s	1m 45s	1216.5%	7.8 GB	45.8 GB	9.2 GB	124.9 MB
4	1e/7bf9ed	18596281	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-23 05:08:31.931	3m 15s	5.4s	64.9%	147.7 MB	1.3 GB	20.7 MB	243.3 KB
5	60/b0b570	18596697	postprocessing (postprocessing)	COMPLETED	0	2026-07-23 05:11:46.994	3m 5s	5.6s	9.7%	133.3 MB	311.8 MB	18.5 MB	383.5 KB
6	ef/5fa688	18597134	curation (curation)	COMPLETED	0	2026-07-23 05:14:51.919	3m 35s	4.3s	26.7%	120.9 MB	567.9 MB	29.6 MB	305.1 KB
7	fa/12b495	18597367	visualization (visualization)	COMPLETED	0	2026-07-23 05:18:26.932	3m 5s	29.7s	57.8%	2.6 GB	30.6 GB	458.1 MB	3.4 MB
8	c1/9195ac	18597654	results_collector (result-collector)	COMPLETED	0	2026-07-23 05:21:31.921	2m 35s	4.8s	28.7%	130.8 MB	464.9 MB	26.5 MB	1.7 MB
10	36/bd4d7d	18597911	quality_control (quality-control)	COMPLETED	0	2026-07-23 05:24:07.064	3m 35s	8.4s	88.1%	903.6 MB	3.2 GB	428.8 MB	4 MB
9	51/aed562	18597910	nwb_units (nwb-units)	COMPLETED	0	2026-07-23 05:24:06.981	3m 40s	5.1s	33.5%	178.6 MB	583.4 MB	76.6 MB	46.9 MB
11	9f/19e9e6	18598244	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-23 05:27:41.939	3m 30s	1s	79.3%	7 MB	13.1 MB	8.7 MB	711 KB
