task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	48/f781b8	17260991	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-05 22:31:49.260	1m 9s	1.5s	94.6%	71.1 MB	401.8 MB	19.4 MB	607 KB
3	9b/c90ada	17261061	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 22:32:58.942	34.7s	18.9s	14.7%	243.1 MB	439.2 MB	440.3 MB	776.7 KB
2	7e/6996d1	17261062	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-05 22:32:59.102	1m 9s	52s	1015.9%	7.3 GB	45.3 GB	3.8 GB	48.5 MB
4	30/14e527	17261099	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 22:33:33.806	3m 10s	4.1s	83.7%	85.7 MB	1.3 GB	20.8 MB	243.4 KB
5	fb/0c7b28	17261291	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 22:36:43.821	1m 35s	1.6s	36.1%	97.3 MB	283.4 MB	18.5 MB	375.5 KB
6	e3/cfb898	17261413	curation (curation)	COMPLETED	0	2026-07-05 22:38:18.767	29.9s	2s	60.1%	86.8 MB	417.5 MB	29.6 MB	305.1 KB
7	ea/9053d4	17261437	visualization (visualization)	COMPLETED	0	2026-07-05 22:38:48.817	2m 5s	36.5s	40.4%	1.5 GB	18.3 GB	489.9 MB	3.6 MB
8	8e/f7b1a7	17261589	results_collector (result-collector)	COMPLETED	0	2026-07-05 22:40:53.817	54.9s	2.1s	69.8%	89.6 MB	421.3 MB	26.5 MB	1.7 MB
10	ed/857fed	17261655	quality_control (quality-control)	COMPLETED	0	2026-07-05 22:41:48.883	1m 5s	12.5s	61.7%	535.3 MB	2.9 GB	426.3 MB	4 MB
9	cf/412ef8	17261656	nwb_units (nwb-units)	COMPLETED	0	2026-07-05 22:41:48.981	1m 5s	2.4s	68.5%	180 MB	585.4 MB	47 MB	17.3 MB
11	48/02fd10	17261730	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-05 22:42:53.764	54.9s	1.5s	57.1%	50.5 MB	370.9 MB	8.7 MB	762.2 KB
