task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f4/5b5b7b	17261923	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-05 22:45:57.836	1m 9s	2.3s	84.9%	987.5 MB	1.6 GB	19.4 MB	607.6 KB
3	fc/d0ccf2	17261994	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 22:47:07.522	59.5s	9.3s	31.7%	280.8 MB	475.9 MB	491.9 MB	775.8 KB
4	3c/f8108e	17262061	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 22:48:07.204	34.8s	1.6s	209.6%	94.3 MB	1.3 GB	20.8 MB	243.4 KB
2	f0/a5da33	17261993	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-05 22:47:07.389	2m 5s	1m 9s	1421.7%	7.6 GB	45.6 GB	6.8 GB	90.7 MB
5	f2/0fe105	17262109	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 22:48:42.147	34.8s	2.1s	26.4%	71.2 MB	283.4 MB	18.5 MB	375.5 KB
6	49/4ad367	17262126	curation (curation)	COMPLETED	0	2026-07-05 22:49:17.106	34.9s	1.9s	70.2%	86.8 MB	417.5 MB	29.6 MB	305.1 KB
7	fe/b14e89	17262190	visualization (visualization)	COMPLETED	0	2026-07-05 22:49:52.157	1m 35s	23.9s	59.5%	2.1 GB	20.1 GB	474.8 MB	3.3 MB
8	25/b0d81a	17262270	results_collector (result-collector)	COMPLETED	0	2026-07-05 22:51:27.121	34.9s	2.1s	72.1%	86.6 MB	418.5 MB	26.4 MB	1.6 MB
9	6b/384cfb	17262348	quality_control (quality-control)	COMPLETED	0	2026-07-05 22:52:02.270	1m 10s	10.3s	76.2%	741.9 MB	3.1 GB	428.6 MB	4 MB
10	f4/9ee8df	17262347	nwb_units (nwb-units)	COMPLETED	0	2026-07-05 22:52:02.176	1m 10s	2.7s	61.7%	174.9 MB	579.7 MB	63.1 MB	33.4 MB
11	8d/c79247	17262415	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-05 22:53:12.228	34.8s	1.2s	70.4%	50.4 MB	370.9 MB	8.7 MB	769.5 KB
