task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	81/57f661	17290957	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-06 10:18:11.963	3m 9s	4.8s	93.5%	4 GB	4.4 GB	21.4 MB	2.4 MB
4	37/fa6245	17291013	preprocessing (preprocessing)	COMPLETED	0	2026-07-06 10:21:21.989	29m	21m 51s	295.0%	15.2 GB	20.5 GB	190.2 GB	31.8 GB
3	81/ddfcc8	17291012	preprocessing (preprocessing)	COMPLETED	0	2026-07-06 10:21:21.875	49m 31s	43m 2s	135.7%	15.6 GB	59.5 GB	190.2 GB	31.9 GB
2	5e/9e9f74	17291011	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-06 10:21:21.766	59m 31s	56m 1s	1065.1%	11.7 GB	49.7 GB	2.7 TB	4.3 GB
6	71/4dbd21	17291015	preprocessing (preprocessing)	COMPLETED	0	2026-07-06 10:21:22.168	1h 2m 31s	31m 33s	237.8%	15.5 GB	59.5 GB	190.7 GB	31.8 GB
5	8f/5691a2	17291016	preprocessing (preprocessing)	COMPLETED	0	2026-07-06 10:21:22.255	1h 11m 50s	19m 20s	298.9%	13.6 GB	59.5 GB	190.7 GB	31.8 GB
8	13/1523ff	17291017	preprocessing (preprocessing)	COMPLETED	0	2026-07-06 10:21:22.343	1h 14m 45s	13m 8s	797.5%	15.6 GB	59.5 GB	142.2 GB	31.9 GB
9	88/8b3afd	17291018	preprocessing (preprocessing)	COMPLETED	0	2026-07-06 10:21:22.423	1h 15m 10s	10m 50s	515.1%	15.5 GB	59.5 GB	144.2 GB	31.9 GB
11	bf/d357bc	17292367	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-06 10:50:23.974	48m 4s	46m	110.7%	35.5 GB	52.6 GB	169.8 MB	811.9 MB
12	bc/96fe77	17293349	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-06 11:10:53.782	27m 59s	23m 43s	194.8%	35.6 GB	51.8 GB	168.3 MB	799.5 MB
