task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	55/98b10c	17262840	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-05 23:00:58.986	1m 9s	1.8s	73.1%	57.8 MB	376.9 MB	19.9 MB	961.1 KB
2	12/b9cf0f	17262896	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-05 23:02:08.806	2m 5s	1m 1s	1016.3%	15.7 GB	54 GB	19.9 GB	154.9 MB
3	3b/a223e9	17262897	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 23:02:08.923	8m 9s	7m 33s	566.3%	91.8 GB	142.9 GB	84.2 GB	73.6 GB
4	a2/dd37d1	17263494	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 23:10:18.565	7m 10s	4m	315.5%	7.9 GB	46.5 GB	90.3 MB	105.3 MB
5	45/e4af55	17263919	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 23:17:28.521	3m 5s	1m 52s	388.9%	103 GB	149.7 GB	290.1 MB	627.9 MB
6	74/29bc17	17264121	curation (curation)	COMPLETED	0	2026-07-05 23:20:33.531	34.8s	13.2s	50.8%	1.9 GB	3.1 GB	281.7 MB	319.5 KB
7	74/56c076	17264176	visualization (visualization)	COMPLETED	0	2026-07-05 23:21:08.577	3m 35s	2m 23s	84.7%	4.4 GB	41.4 GB	5.6 GB	120.2 MB
8	c1/de3470	17264371	results_collector (result-collector)	COMPLETED	0	2026-07-05 23:24:43.808	1m 35s	19.5s	25.8%	231.2 MB	885.2 MB	200.1 MB	144.9 MB
10	0f/087e8c	17264451	nwb_units (nwb-units)	COMPLETED	0	2026-07-05 23:26:18.645	1m 5s	19.4s	95.2%	1.5 GB	2.2 GB	113.7 MB	374.5 MB
9	bf/c92132	17264452	quality_control (quality-control)	FAILED	1	2026-07-05 23:26:18.773	2m 10s	1m 35s	-	-	-	-	-
