task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	be/3d9ecb	18503367	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-22 03:02:02.160	3m 10s	1.5s	97.9%	64.2 MB	385.2 MB	19.8 MB	1000.5 KB
2	8b/ea61bd	18503466	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-22 03:05:12.031	5m 5s	1m 11s	958.7%	15.9 GB	54.1 GB	20.2 GB	155.4 MB
3	3a/f1ea19	18503467	preprocessing (preprocessing)	COMPLETED	0	2026-07-22 03:05:12.128	9m 10s	5m 48s	344.0%	137 GB	188.2 GB	120.6 GB	109.9 GB
4	c4/b52035	18503635	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-22 03:14:21.813	6m 5s	5m 14s	254.9%	8 GB	55.2 GB	96.3 MB	170 MB
5	39/08e967	18503712	postprocessing (postprocessing)	COMPLETED	0	2026-07-22 03:20:26.836	3m 5s	1m 51s	463.2%	151 GB	200.3 GB	257.1 MB	892.2 MB
6	86/4cb2b2	18503786	curation (curation)	COMPLETED	0	2026-07-22 03:23:31.804	1m 35s	14.8s	49.3%	1.3 GB	3 GB	266.7 MB	324.1 KB
7	b8/0d1d5e	18503811	visualization (visualization)	COMPLETED	0	2026-07-22 03:25:06.831	6m 10s	2m 34s	87.0%	6.2 GB	43.2 GB	6 GB	135.1 MB
8	07/4459c8	18503970	results_collector (result-collector)	COMPLETED	0	2026-07-22 03:31:16.900	3m 5s	18.2s	30.6%	259.4 MB	911.5 MB	259.8 MB	205.5 MB
10	be/a910f6	18504012	nwb_units (nwb-units)	COMPLETED	0	2026-07-22 03:34:21.917	3m 5s	31.8s	96.1%	2.7 GB	3.4 GB	116.1 MB	663.4 MB
9	c0/3c042c	18504013	quality_control (quality-control)	FAILED	1	2026-07-22 03:34:22.094	4m 10s	1m 35s	-	-	-	-	-
