task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	41/4a4989	16172826	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-21 03:16:38.762	49.3s	1.7s	113.8%	69.6 MB	394.9 MB	19.9 MB	954.7 KB
3	34/97de54	16172876	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-06-21 03:17:28.456	5m 5s	3m 30s	1326.0%	16.8 GB	54.9 GB	111.8 GB	703.1 MB
2	cc/37723f	16172877	preprocessing (preprocessing)	COMPLETED	0	2026-06-21 03:17:28.596	7m 10s	5m 45s	734.8%	48.1 GB	98.4 GB	99.1 GB	62.4 GB
4	d7/683f6b	16173398	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-21 03:24:38.261	28m 5s	26m 45s	781.0%	34 GB	62.6 GB	138.5 MB	597.7 MB
5	18/72cd2d	16174693	postprocessing (postprocessing)	COMPLETED	0	2026-06-21 03:52:43.308	8m 5s	7m 21s	593.8%	158.5 GB	211.1 GB	2.9 GB	4.3 GB
6	0e/8f5b7f	16175046	curation (curation)	COMPLETED	0	2026-06-21 04:00:48.322	1m 5s	24.9s	52.7%	3.2 GB	4.7 GB	568.4 MB	303.8 KB
7	d6/f2e98a	16175076	visualization (visualization)	COMPLETED	0	2026-06-21 04:01:53.297	6m 5s	4m 53s	62.3%	10 GB	47.3 GB	6.9 GB	311.7 MB
8	2c/170193	16175368	results_collector (result-collector)	COMPLETED	0	2026-06-21 04:07:58.368	1m 5s	36.9s	21.0%	460.1 MB	1.3 GB	547.1 MB	515.5 MB
9	cd/aea864	16175391	quality_control (quality-control)	COMPLETED	0	2026-06-21 04:09:03.455	2m 5s	1m 50s	73.5%	3.4 GB	6.2 GB	3.8 GB	7.1 MB
10	b5/f70afd	16175392	nwb_units (nwb-units)	COMPLETED	0	2026-06-21 04:09:03.555	2m 5s	57s	93.0%	4.8 GB	5.8 GB	265.1 MB	1.2 GB
11	13/42b097	16175531	quality_control_collector (qc-collector)	COMPLETED	0	2026-06-21 04:11:08.368	34.8s	1.4s	58.0%	50.6 MB	370.9 MB	11.9 MB	4 MB
