task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	9a/06c000	18721385	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-24 09:23:21.962	4m 4s	2m 30s	1.0%	81.4 MB	408.2 MB	19.7 MB	918.7 KB
3	0d/592805	18721719	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-24 09:27:28.793	23m 8s	16m 45s	141.4%	13.3 GB	51.4 GB	53.5 GB	384.9 MB
2	3d/35d464	18721720	preprocessing (preprocessing)	COMPLETED	0	2026-07-24 09:27:30.355	31m 16s	25m 34s	64.3%	23.3 GB	73.8 GB	44.2 GB	27.6 GB
4	5d/c1df31	18724688	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-24 09:58:46.642	1h 12m 25s	1h 9m 32s	112.1%	21.6 GB	45.9 GB	105.8 MB	244.6 MB
5	a3/b6cf87	18730745	postprocessing (postprocessing)	COMPLETED	0	2026-07-24 11:11:12.692	6h 9m 20s	16m 1s	540.2%	82.8 GB	151.8 GB	3.9 GB	4.5 GB
6	2e/fa5313	18784395	curation (curation)	COMPLETED	0	2026-07-24 17:20:32.862	11m 14s	7m 49s	3.1%	5.9 GB	7 GB	585.7 MB	318.3 KB
7	1b/522c2c	18785408	visualization (visualization)	COMPLETED	0	2026-07-24 17:31:47.336	36m 10s	21m 48s	10.7%	7.8 GB	44.9 GB	5.6 GB	211.8 MB
8	37/91b266	18787920	results_collector (result-collector)	COMPLETED	0	2026-07-24 18:07:57.382	23m 5s	14m 32s	0.7%	337.7 MB	988.9 MB	528.3 MB	486.9 MB
9	5e/217eb0	18789583	nwb_units (nwb-units)	COMPLETED	0	2026-07-24 18:31:03.516	6m 44s	4m 26s	4.3%	1014.3 MB	1.8 GB	176.5 MB	269.9 MB
10	87/796777	18789582	quality_control (quality-control)	COMPLETED	0	2026-07-24 18:31:02.838	15m 49s	14m 10s	6.0%	1.1 GB	3.9 GB	2.7 GB	6.7 MB
11	e3/b46af3	18790779	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-24 18:46:52.766	2m 35s	4.7s	17.3%	50.8 MB	370.9 MB	11.4 MB	3.5 MB
