task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	76/d25a25	16201800	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-21 13:01:25.643	34.3s	1.4s	84.7%	77.7 MB	405.7 MB	19.8 MB	920.2 KB
2	6b/ccf84f	16201816	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-06-21 13:02:00.392	10m 10s	2m 22s	1220.7%	15 GB	53.2 GB	74.4 GB	463.7 MB
3	92/1b63f7	16201815	preprocessing (preprocessing)	COMPLETED	0	2026-06-21 13:02:00.265	16m 5s	5m 45s	523.6%	55.7 GB	106.5 GB	83.6 GB	56.6 GB
4	55/8983d4	16202868	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-21 13:18:05.171	11m 5s	10m 33s	559.9%	22.5 GB	49 GB	94.2 MB	129.5 MB
5	6f/b5989d	16203331	postprocessing (postprocessing)	COMPLETED	0	2026-06-21 13:29:10.234	8m 5s	5m 31s	1011.8%	73 GB	136.2 GB	2.5 GB	3 GB
6	ea/b09185	16203639	curation (curation)	COMPLETED	0	2026-06-21 13:37:16.888	1m 33s	25.1s	41.4%	2.8 GB	3.9 GB	438.8 MB	291.2 KB
7	e9/ff4087	16203658	visualization (visualization)	COMPLETED	0	2026-06-21 13:38:50.194	6m 40s	4m 5s	68.1%	6.6 GB	31.3 GB	6.4 GB	194.4 MB
8	77/98dd17	16204008	results_collector (result-collector)	COMPLETED	0	2026-06-21 13:45:30.278	2m 5s	1m 16s	7.0%	234.5 MB	886.7 MB	351.2 MB	298.3 MB
10	23/e079d8	16204155	nwb_units (nwb-units)	COMPLETED	0	2026-06-21 13:47:35.403	1m 35s	19.1s	63.5%	1.1 GB	1.7 GB	216.9 MB	338.7 MB
9	84/7f2a37	16204154	quality_control (quality-control)	COMPLETED	0	2026-06-21 13:47:35.275	3m 5s	1m 43s	64.6%	1.1 GB	3.8 GB	3.8 GB	7.2 MB
11	c9/1cc353	16204355	quality_control_collector (qc-collector)	COMPLETED	0	2026-06-21 13:50:40.211	54.9s	946ms	71.0%	6.3 MB	12.8 MB	12 MB	4 MB
