task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	78/60bb8a	18840850	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-25 07:46:20.687	1m 34s	11s	21.1%	3.8 GB	4.1 GB	19.6 MB	779 KB
2	8d/822d49	18840877	preprocessing (preprocessing)	COMPLETED	0	2026-07-25 07:47:55.508	11m 50s	10m 23s	6.1%	1.5 GB	1.7 GB	3.7 GB	1.4 MB
4	f8/556353	18841336	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-25 07:59:45.904	4m 39s	1m 23s	4.2%	76.6 MB	1.2 GB	20.7 MB	243.4 KB
5	4c/5694c7	18841768	postprocessing (postprocessing)	COMPLETED	0	2026-07-25 08:04:26.012	5m 29s	4m 15s	0.3%	135.9 MB	313.7 MB	18.6 MB	383.5 KB
6	61/fed799	18842020	curation (curation)	COMPLETED	0	2026-07-25 08:09:55.631	1m 5s	26.7s	4.5%	136.1 MB	567.9 MB	29.6 MB	305.1 KB
7	dd/506bc3	18842037	visualization (visualization)	COMPLETED	0	2026-07-25 08:11:00.263	16m 20s	15m 34s	3.8%	6.8 GB	23.7 GB	2.1 GB	9.8 MB
8	ea/cb2804	18842715	results_collector (result-collector)	COMPLETED	0	2026-07-25 08:27:20.581	1m 35s	21.9s	6.1%	138.9 MB	475 MB	27.5 MB	2.5 MB
9	bc/c68d4a	18842768	quality_control (quality-control)	COMPLETED	0	2026-07-25 08:28:55.325	10m 5s	9m	4.8%	2.2 GB	4.6 GB	1.4 GB	6.3 MB
10	ae/21eb18	18843113	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-25 08:39:01.424	33.8s	1.6s	69.4%	50.2 MB	370.9 MB	11 MB	3.1 MB
3	f8/7cc22f	18840876	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-25 07:47:55.372	2h 11m 50s	2h 10m 45s	212.2%	12.7 GB	50.8 GB	760 GB	2.7 GB
11	87/a4a014	18846202	nwb_units (nwb-units)	COMPLETED	0	2026-07-25 09:59:46.147	6m 44s	5m 24s	0.9%	181.9 MB	586.4 MB	895.1 MB	865.3 MB
