task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	44/512fdb	15471111	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-05 02:45:56.920	3m 14s	8.2s	68.0%	163 MB	308.7 MB	19.3 MB	591.7 KB
3	87/1fc2c3	15471152	preprocessing (preprocessing)	COMPLETED	0	2026-06-05 02:49:11.836	3m 34s	44.5s	277.7%	8.3 GB	55.1 GB	1.9 GB	583.1 MB
2	40/536d82	15471151	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-06-05 02:49:11.710	4m 5s	1m 9s	1436.2%	3.8 GB	41.9 GB	1.4 GB	12.4 MB
4	75/4dcb3d	15471202	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-05 02:52:46.559	3m 5s	25.5s	338.0%	2.1 GB	18.7 GB	71 MB	14.5 MB
5	7d/e06a9c	15471235	postprocessing (postprocessing)	COMPLETED	0	2026-06-05 02:55:51.495	3m 5s	32.3s	216.2%	2.6 GB	10.1 GB	219 MB	207.9 MB
6	f8/e3a864	15471274	curation (curation)	COMPLETED	0	2026-06-05 02:58:56.487	2m 35s	11.3s	41.4%	496 MB	1.6 GB	183.7 MB	287.8 KB
7	8a/6274ac	15471319	visualization (visualization)	COMPLETED	0	2026-06-05 03:01:31.489	3m 35s	51.6s	55.8%	1.3 GB	15.1 GB	837.4 MB	16.4 MB
8	6f/5e0eaf	15471401	results_collector (result-collector)	COMPLETED	0	2026-06-05 03:05:06.545	2m 35s	5.3s	49.9%	219.4 MB	873.8 MB	127.8 MB	86.8 MB
9	3b/43468b	15471466	nwb_units (nwb-units)	COMPLETED	0	2026-06-05 03:07:41.561	3m 5s	7.5s	31.7%	201.5 MB	609.1 MB	40.3 MB	4 MB
10	ee/d2afa8	15471467	quality_control (quality-control)	COMPLETED	0	2026-06-05 03:07:41.661	3m 10s	7.9s	116.6%	462 MB	2.8 GB	885.1 MB	5 MB
11	f7/786d36	15471553	quality_control_collector (qc-collector)	COMPLETED	0	2026-06-05 03:10:51.471	2m 35s	1.1s	59.9%	50.4 MB	370.9 MB	9.9 MB	1.9 MB
