task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	1c/9b1078	16105439	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-19 13:47:48.540	3m 14s	4.3s	40.9%	51.7 MB	369 MB	19.4 MB	595.3 KB
2	fc/19bc3a	16105600	preprocessing (preprocessing)	COMPLETED	0	2026-06-19 13:51:03.324	3m 35s	48.7s	239.4%	9.1 GB	59.1 GB	1.9 GB	583.1 MB
4	de/9cf7bb	16105691	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-19 13:54:38.068	1m 10s	31s	276.2%	2 GB	18.6 GB	71 MB	14.5 MB
3	c7/b41d9f	16105601	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-06-19 13:51:03.421	5m 9s	1m 32s	1452.1%	3.8 GB	41.9 GB	1.4 GB	12.4 MB
5	81/dcd5e8	16105709	postprocessing (postprocessing)	COMPLETED	0	2026-06-19 13:55:48.116	1m 35s	37.8s	189.0%	649.4 MB	3.3 GB	219 MB	207.8 MB
6	a9/d3ace4	16105722	curation (curation)	COMPLETED	0	2026-06-19 13:57:23.063	3m 5s	15.5s	30.1%	297.1 MB	1.4 GB	183.6 MB	287.8 KB
7	fb/94d0db	16105862	visualization (visualization)	COMPLETED	0	2026-06-19 14:00:28.050	3m 35s	49.2s	47.3%	1.3 GB	15.1 GB	832.5 MB	15.9 MB
8	eb/2f229a	16105929	results_collector (result-collector)	COMPLETED	0	2026-06-19 14:04:03.106	2m 15s	4.6s	71.1%	228.1 MB	879.2 MB	127.7 MB	86.8 MB
9	4e/1d5c66	16105978	quality_control (quality-control)	COMPLETED	0	2026-06-19 14:06:18.193	3m	17.2s	75.0%	463.5 MB	2.8 GB	885.1 MB	5 MB
10	8d/bd4ecf	16105979	nwb_units (nwb-units)	COMPLETED	0	2026-06-19 14:06:18.291	3m 5s	7.3s	34.9%	195.9 MB	600.5 MB	40.3 MB	4 MB
11	4d/4ac95e	16106017	quality_control_collector (qc-collector)	COMPLETED	0	2026-06-19 14:09:18.133	3m	3.1s	35.3%	44.7 MB	364.4 MB	9.9 MB	1.9 MB
